Cracked,ID Number ,Long Name ,Tank #,Treatment,Date,Time,Variable,Note 
TRUE,MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,6/2/2024,1200,DNA,
TRUE,MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,6/2/2024,1200,DNA,
TRUE,MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,A,6/2/2024,1200,DNA,
TRUE,MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,R,6/2/2024,1200,DNA,
TRUE,MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,C,6/2/2024,1200,DNA,
TRUE,MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,A,6/2/2024,1200,DNA,
TRUE,MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,R,6/2/2024,1200,DNA,
TRUE,MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,K,6/2/2024,1200,DNA,
TRUE,MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,K,6/2/2024,1200,DNA,
TRUE,MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,C,6/2/2024,1200,DNA,
TRUE,MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,K,6/2/2024,1200,DNA,
TRUE,MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,R,6/2/2024,1200,DNA,
TRUE,MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,C,6/2/2024,1200,DNA,
TRUE,MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,R,6/2/2024,1200,DNA,
TRUE,MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,A,6/2/2024,1200,DNA,
TRUE,MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,A,6/2/2024,1200,DNA,
TRUE,MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,C,6/2/2024,1200,DNA,
TRUE,MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,K,6/2/2024,1200,DNA,
TRUE,MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,6/2/2024,1800,DNA,
TRUE,MOBEAST020,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,6/2/2024,1800,DNA,
TRUE,MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,A,6/2/2024,1800,DNA,
TRUE,MOBEAST022,MOBEAST_T2_R_2024-06-02_1800,T2,R,6/2/2024,1800,DNA,
TRUE,MOBEAST023,MOBEAST_T3_C_2024-06-02_1800,T3,C,6/2/2024,1800,DNA,
