id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,sample,npoc_mg_l,tn_mg_l,npoc_u_m,tn_u_m,npoc_u_m_norm,inflow
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,F1_IN 06/02/24 12:00,1.66663333333333,0.164198333333333,138.7623813211,11.7228421636312,0,138.7623813211
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,F2_IN 06/02/24 12:00,1.75463333333333,0.167808333333333,146.089181590859,11.9805759624561,0,146.089181590859
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T1 06/02/24 12:00,2.58863333333333,0.211058333333333,215.527265965625,15.0683839400668,76.76488464452498,138.7623813211
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,T2 06/02/24 12:00,1.91463333333333,0.200058333333333,159.410636626786,14.2830454948941,13.321455035926988,146.089181590859
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,T3 06/02/24 12:00,2.49463333333333,0.360358333333333,207.700911132018,25.7275684731831,61.61172954115901,146.089181590859
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,T4 06/02/24 12:00,3.10263333333333,0.202858333333333,258.322440268538,14.4829498263926,112.233258677679,146.089181590859
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,T5 06/02/24 12:00,1.70763333333333,0.186058333333333,142.176004174056,13.2835238374016,-3.913177416802995,146.089181590859
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,T6 06/02/24 12:00,2.20963333333333,0.270758333333333,183.972069349275,19.3306298652312,37.88288775841599,146.089181590859
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,T7 06/02/24 12:00,1.76663333333333,0.194358333333333,147.088290718554,13.8760973914865,0.999109127694993,146.089181590859
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T8 06/02/24 12:00,1.65063333333333,0.189458333333333,137.430235817507,13.5262648113641,-1.3321455035930114,138.7623813211
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T9 06/02/24 12:00,1.73963333333333,0.175988333333333,144.840295181241,12.5645821880481,6.077913860140995,138.7623813211
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T10 06/02/24 12:00,2.19463333333333,0.319158333333333,182.723182939657,22.7861190239909,43.960801618556985,138.7623813211
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T11 06/02/24 12:00,1.54563333333333,0.195558333333333,128.688030950181,13.9617706764144,-10.074350370919007,138.7623813211
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,CCA,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T12 06/02/24 12:00,1.83163333333333,0.242258333333333,152.500131826899,17.2958893481929,13.737750505799,138.7623813211
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T13 06/02/24 12:00,1.77763333333333,0.195558333333333,148.004140752274,13.9617706764144,9.241759431173989,138.7623813211
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T14 06/02/24 12:00,1.6704,0.15784,139.075990575071,11.2688927441867,0.3136092539709807,138.7623813211
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,Control,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T15 06/02/24 12:00,1.5954,0.1594,132.83155852698,11.380268014593,-5.930822794120019,138.7623813211
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,Coral,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,T16 06/02/24 12:00,1.6824,0.17692,140.075099702765,12.6310979745408,1.312718381664979,138.7623813211
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,F1_IN 06/02/24 18:00,1.3574,0.22562,113.01589416104,16.1080054545325,0,113.01589416104
MOBEAST020,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,F2_IN 06/02/24 18:00,1.2484,0.15196,103.940652917815,10.8490936480399,0,103.940652917815
MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,Algae,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T1 06/02/24 18:00,1.4204,0.15567,118.261217081436,11.1139668872754,5.245322920396006,113.01589416104
MOBEAST022,MOBEAST_T2_R_2024-06-02_1800,T2,CCA,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,T2 06/02/24 18:00,1.2714,0.15449,105.855612079229,11.0297214904296,1.9149591614140036,103.940652917815
MOBEAST023,MOBEAST_T3_C_2024-06-02_1800,T3,Control,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,T3 06/02/24 18:00,1.2044,0.16682,100.277252782935,11.910014493064,-3.663400134880007,103.940652917815
MOBEAST024,MOBEAST_T4_A_2024-06-02_1800,T4,Algae,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,T4 06/02/24 18:00,1.5374,0.15008,128.002531076457,10.7148721683194,24.06187815864199,103.940652917815
MOBEAST025,MOBEAST_T5_R_2024-06-02_1800,T5,CCA,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,T5 06/02/24 18:00,1.2934,0.15911,107.687312146669,11.3595636374021,3.746659228854,103.940652917815
MOBEAST026,MOBEAST_T6_K_2024-06-02_1800,T6,Coral,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,T6 06/02/24 18:00,1.5464,0.22192,128.751862922228,15.843846159338,24.811210004413013,103.940652917815
MOBEAST027,MOBEAST_T7_K_2024-06-02_1800,T7,Coral,Table 2,2024-06-02 18:00:00,2024-06-02,18:00:00,T7 06/02/24 18:00,1.3214,0.16377,110.018566777956,11.6922615605389,6.077913860140995,103.940652917815
MOBEAST028,MOBEAST_T8_C_2024-06-02_1800,T8,Control,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T8 06/02/24 18:00,5.1504,0.16905,428.817637606468,12.0692240142218,315.801743445428,113.01589416104
MOBEAST029,MOBEAST_T9_K_2024-06-02_1800,T9,Coral,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T9 06/02/24 18:00,1.6884,0.31972,140.574654266612,22.8262188809641,27.55876010557199,113.01589416104
MOBEAST030,MOBEAST_T10_R_2024-06-02_1800,T10,CCA,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T10 06/02/24 18:00,1.4824,0.24722,123.423280907857,17.6501245832352,10.40738674681701,113.01589416104
MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,Control,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T11 06/02/24 18:00,4.6584,0.23022,387.854163370994,16.4364197134229,274.838269209954,113.01589416104
MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,CCA,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T12 06/02/24 18:00,1.4794,0.21692,123.173503625934,15.486874138805,10.157609464894009,113.01589416104
MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,Algae,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T13 06/02/24 18:00,1.5764,0.21842,131.249635741464,15.5939657449649,18.23374158042401,113.01589416104
MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,Algae,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T14 06/02/24 18:00,1.2354,0.16451,102.858284696146,11.7450934195778,-10.157609464893994,113.01589416104
MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,Control,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T15 06/02/24 18:00,1.5494,0.25382,129.001640204151,18.1213276503388,15.985746043110993,113.01589416104
MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,Coral,Table 1,2024-06-02 18:00:00,2024-06-02,18:00:00,T16 06/02/24 18:00,1.6134,0.28202,134.330222218522,20.1346498461451,21.314328057482015,113.01589416104
MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,Table 1,2024-06-03,2024-06-03,00:00:00,F1_IN 06/03/24 0:00,3.8264,0.16384,318.582597184177,11.6972591688263,0,318.582597184177
MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,Table 2,2024-06-03,2024-06-03,00:00:00,F2_IN 06/03/24 0:00,3.8684,0.15447,322.079479131108,11.0282936023474,0,322.079479131108
MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,Algae,Table 1,2024-06-03,2024-06-03,00:00:00,T1 06/03/24 0:00,1.8994,0.28342,158.14232309524,20.2346020118943,-160.44027408893703,318.582597184177
MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,CCA,Table 2,2024-06-03,2024-06-03,00:00:00,T2 06/03/24 0:00,4.2644,0.1692,355.050080345026,12.0799331748378,32.97060121391803,322.079479131108
MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,Control,Table 2,2024-06-03,2024-06-03,00:00:00,T3 06/03/24 0:00,4.0454,0.18142,336.816338764602,12.9523727930205,14.73685963349402,322.079479131108
MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,Algae,Table 2,2024-06-03,2024-06-03,00:00:00,T4 06/03/24 0:00,1.3054,0.1425,108.686421274364,10.1737025851914,-213.39305785674398,322.079479131108
MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,CCA,Table 2,2024-06-03,2024-06-03,00:00:00,T5 06/03/24 0:00,3.7404,0.15831,311.422315102367,11.3024481141168,-10.657164028740965,322.079479131108
MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,Coral,Table 2,2024-06-03,2024-06-03,00:00:00,T6 06/03/24 0:00,1.1394,0.14535,94.8654116745902,10.3771766368952,-227.21406745651777,322.079479131108
MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,Coral,Table 2,2024-06-03,2024-06-03,00:00:00,T7 06/03/24 0:00,1.1094,0.14185,92.367638855354,10.1272962225221,-229.71184027575396,322.079479131108
MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,Control,Table 1,2024-06-03,2024-06-03,00:00:00,T8 06/03/24 0:00,1.0304,0.14229,85.7901704313654,10.158709760329,-232.79242675281162,318.582597184177
MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,Coral,Table 1,2024-06-03,2024-06-03,00:00:00,T9 06/03/24 0:00,1.0664,0.14926,88.7874978144488,10.656328756952,-229.79509936972823,318.582597184177
