ID Number ,Long Name ,Tank #,Treatment,Date,Time
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,6/2/2024,1200
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,6/2/2024,1200
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,A,6/2/2024,1200
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,R,6/2/2024,1200
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,C,6/2/2024,1200
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,A,6/2/2024,1200
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,R,6/2/2024,1200
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,K,6/2/2024,1200
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,K,6/2/2024,1200
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,C,6/2/2024,1200
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,K,6/2/2024,1200
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,R,6/2/2024,1200
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,C,6/2/2024,1200
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,R,6/2/2024,1200
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,A,6/2/2024,1200
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,A,6/2/2024,1200
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,C,6/2/2024,1200
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,K,6/2/2024,1200
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,6/2/2024,1800
MOBEAST020,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,6/2/2024,1800
MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,A,6/2/2024,1800
