ID Number;Run#;NO3+NO2 (umol/L);NO2 (umol/L);PO4 (umol/L);SiO2 (umol/L);NH3 (umol/L)
MOBEAST001;1;1.145;0.09390409366;0.08416047528;1.258988571;0.4231201663
MOBEAST002;1;1.27;0.09897465131;<0.077;1.004552258;0.5454408185
MOBEAST003;1;0.296;<0.01;<0.077;0.3976745336;<0.085
MOBEAST004;1;1.098;<0.01;<0.077;0.06784968345;0.9062657249
MOBEAST005;1;1.332;0.1264346843;<0.077;1.215640162;1.92283021
MOBEAST006;1;0.324;<0.01;0.08837706936;0.7614242254;0.1262719034
MOBEAST007;1;0.711;0.08448734374;<0.077;0.7840407865;0.7588924581
MOBEAST008;1;2.095;0.07915338049;<0.077;0.878276458;1.012192888
MOBEAST009;1;1.071;0.1082596984;0.1006497578;0.8952388789;0.4582610822
MOBEAST010;1;0.746;0.1199153959;0.1320856665;0.9743968429;0.5382108693
MOBEAST011;1;0.982;0.131175985;<0.077;2.052452924;1.110133478
MOBEAST012;1;1.587;<0.01;<0.077;<0.01;2.151750578
MOBEAST013;1;0.539;0.1063500079;<0.077;1.551119152;0.4633052328
MOBEAST014;1;0.92;<0.01;<0.077;<0.01;0.8692752871
MOBEAST015;1;0.443;<0.01;<0.077;0.878276458;0.4365712346
MOBEAST016;1;0.533;0.07283164628;0.09468481985;0.8292739088;0.5498964848
MOBEAST017;1;0.504;0.0994356111;<0.077;0.7859255;0.5184546127
MOBEAST018;1;0.388;0.08982130698;<0.077;<0.01;0.8778503431
MOBEAST019;1;1.095;0.09008471257;0.09447913233;<0.01;0.2552340205
MOBEAST020;1;0.8;0.1499436334;<0.077;0.2073184772;0.4430445612
MOBEAST021;1;0.306;0.08363127556;0.08018384997;0.08669681774;0.3178655571
MOBEAST022;1;0.589;0.08303861298;<0.077;<0.01;0.4558230761
MOBEAST023;1;1.083;0.1475071317;0.0837833815;0.1093133789;2.430103622
MOBEAST024;1;0.584;<0.01;0.1003755078;0.09800509832;2.802446005
MOBEAST025;1;1.129;0.1259078731;0.07308763067;<0.01;1.105257466
MOBEAST026;1;1.112;0.1186642193;0.07874403736;0.01696242086;1.373606278
MOBEAST027;1;0.477;0.1177422998;0.1184074467;0.06973439688;0.5067689972
MOBEAST028;1;0.667;0.1671966997;0.1214584782;0.1884713429;1.000086926
MOBEAST029;1;2.128;0.1581750582;0.1005469141;0.0904662446;4.072058712
MOBEAST030;1;1.612;0.15731899;0.1049349144;<0.01;4.426998776
MOBEAST031;1;1.046;0.1602164515;<0.077;0.3241707098;2.573189361
MOBEAST032;1;1.275;0.1415146545;<0.077;<0.01;1.305846522
MOBEAST033;1;0.983;0.07316090327;<0.077;<0.01;1.300213887
MOBEAST034;1;0.611;0.144741373;0.07946394367;0.06408025659;1.171672116
MOBEAST035;1;2.242;0.143753602;<0.077;<0.01;2.738553431
MOBEAST036;1;2.482;0.08349957277;0.1183388842;0.04711783573;5.115020918
MOBEAST037;1;2.913;0.1681844707;0.1418558235;0.1978949101;0.9996665802
MOBEAST038;1;0.743;0.1950518411;0.0759672559;0.13192994;0.7887370158
MOBEAST039;1;0.746;0.1403951807;0.08601166293;0.0904662446;1.229175433
MOBEAST040;1;1.07;0.1037818034;0.1237210409;<0.01;0.8137055613
MOBEAST041;1;2.291;0.2416087796;0.1219384157;0.3034388621;6.178327865
MOBEAST042;1;0.911;0.07460963402;0.1474436677;0.2563210264;0.7314018373
MOBEAST043;1;1.108;0.185766794;<0.077;0.04900254916;2.264655482
MOBEAST044;1;0.922;0.1841863604;0.09797582011;0.04711783573;1.060700802
MOBEAST045;1;0.516;0.1396049639;0.1391476046;<0.01;0.85876664
MOBEAST046;1;1.644;0.2637348493;0.1527229806;0.2506668861;1.783443515
MOBEAST047;1;1.284;0.2676200818;0.1043178518;0.2845917278;2.552256136
MOBEAST048;1;1.821;0.2442428355;0.1335254791;0.2393586055;1.468436309
MOBEAST049;1;1.869;0.3125965867;0.09389635104;0.4278299484;1.200507843
MOBEAST050;1;1.312;0.2582691833;0.1419586673;0.2186267578;1.906688928
MOBEAST051;1;1.551;0.6708281922;0.08038953749;0.1828172026;1.358221619
MOBEAST052;1;1.408;<0.01;0.1251608535;0.373173259;2.674660857
MOBEAST053;1;1.567;0.4095956961;0.1292403225;0.333594277;3.106776425
MOBEAST054;1;2.062;0.4472626958;0.1772683575;0.3769426858;2.058938207
MOBEAST055;1;1.632;0.5711291755;0.2017794532;0.5559904616;20.20552221
MOBEAST056;1;0.593;0.8064820723;<0.077;0.6389178525;3.328466844
MOBEAST057;1;0.732;0.31463798;0.1270463224;0.6276095719;2.610684213
MOBEAST058;1;0.418;0.3453247315;0.141924386;0.2600904532;3.806904529
MOBEAST059;1;1.501;0.6622016591;0.1634187314;0.1922407698;20.02477348
MOBEAST060;1;0.178;0.09746006916;<0.077;0.7105369628;2.291137273
MOBEAST061;2;0.71;<0.01;<0.077;0.05;0.26
MOBEAST062;2;1.56;<0.01;0.08;0.11;0.6
MOBEAST063;2;0.42;<0.01;0.11;0.09;<0.085
MOBEAST064;2;0.83;0.08;0.1;0.21;0.44
MOBEAST065;2;0.48;<0.01;0.09;0.12;0.19
MOBEAST066;2;0.6;<0.01;0.1;0.05;0.21
MOBEAST067;2;0.56;0.07;0.09;0.14;0.15
MOBEAST068;2;0.54;<0.01;<0.077;<0.01;0.29
MOBEAST069;2;0.24;<0.01;<0.077;<0.01;<0.085
MOBEAST070;2;0.26;<0.01;0.08;<0.01;<0.085
MOBEAST071;2;1.28;<0.01;0.1;<0.01;0.38
MOBEAST072;2;0.74;<0.01;0.11;<0.01;0.22
MOBEAST073;2;0.92;0.12;0.12;<0.01;0.3
MOBEAST074;2;1.1;0.13;<0.077;<0.01;0.62
MOBEAST075;2;0.71;0.07;<0.077;<0.01;0.43
MOBEAST076;2;0.63;<0.01;0.09;<0.01;0.33
MOBEAST077;2;0.89;0.09;0.19;<0.01;1.37
MOBEAST078;2;6.28;<0.01;0.09;0.56;3.94
MOBEAST079;2;1.45;0.09;0.07;<0.01;2.46
MOBEAST080;2;1.64;0.08;0.09;<0.01;0.65
MOBEAST081;2;3.25;0.08;0.11;<0.01;0.77
MOBEAST082;2;1.19;0.13;0.09;<0.01;0.89
MOBEAST083;2;0.81;0.11;0.09;<0.01;0.37
MOBEAST084;2;1.01;0.1;0.12;<0.01;0.54
MOBEAST085;2;2.62;0.12;0.1;<0.01;0.66
MOBEAST086;2;0.82;0.1;<0.077;<0.01;0.43
MOBEAST087;2;0.31;<0.01;<0.077;<0.01;0.26
MOBEAST088;2;1.07;<0.01;0.08;<0.01;0.61
MOBEAST089;2;1.57;<0.01;0.09;<0.01;1.25
MOBEAST090;2;1.11;0.08;0.09;<0.01;0.32
MOBEAST091;2;1.84;0.09;0.08;<0.01;1.22
MOBEAST092;2;1.58;0.1;0.09;<0.01;1.23
MOBEAST093;2;1.95;0.09;<0.077;<0.01;1.56
MOBEAST094;2;1.46;<0.01;0.13;<0.01;1.16
MOBEAST095;2;1.37;<0.01;0.09;<0.01;1.31
MOBEAST096;2;1.66;<0.01;0.07;<0.01;3.13
MOBEAST097;2;1.8;0.08;<0.077;<0.01;1.37
MOBEAST098;2;1.52;<0.01;0.11;<0.01;1.11
MOBEAST099;2;1.55;0.08;0.1;<0.01;1.13
MOBEAST100;2;1.6;0.1;0.07;<0.01;1.24
MOBEAST101;2;1.97;0.09;0.12;0.04;1.35
MOBEAST102;2;1.55;0.08;0.1;0.05;1.31
MOBEAST103;2;1.66;0.09;0.09;0.21;1.33
MOBEAST104;2;1.21;<0.01;0.11;<0.01;1.4
MOBEAST105;2;1.49;0.09;0.1;0.12;1.36
MOBEAST106;2;1.05;<0.01;0.1;<0.01;2.81
MOBEAST107;2;1.36;0.07;0.13;<0.01;1.75
MOBEAST108;2;1.12;0.08;0.08;0.07;1.09
MOBEAST109;2;3.18;<0.01;0.09;0.67;0.53
MOBEAST110;2;1.44;<0.01;0.11;<0.01;0.11
MOBEAST111;2;0.31;<0.01;0.07;0.03;0.75
MOBEAST112;2;0.96;<0.01;0.12;0.28;0.49
MOBEAST113;2;3.88;<0.01;0.12;<0.01;1.3
MOBEAST114;2;0.31;<0.01;0.14;<0.01;0.74
MOBEAST115;2;1.22;<0.01;0.59;16.11;1.17
