id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.145,0,1.145
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.09390409366,0,0.09390409366
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.08416047528,0,0.08416047528
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.258988571,0,1.258988571
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.4231201663,0,0.4231201663
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.05109590634,0,1.05109590634
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.27,0,1.27
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.09897465131,0,0.09897465131
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,0,0.077
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.004552258,0,1.004552258
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.5454408185,0,0.5454408185
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.17102534869,0,1.17102534869
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.296,-0.849,1.145
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08390409366,0.09390409366
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,-0.007160475279999995,0.08416047528
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.3976745336,-0.8613140373999999,1.258988571
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.085,-0.33812016629999997,0.4231201663
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 1,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.286,-0.76509590634,1.05109590634
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.098,-0.17199999999999993,1.27
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08897465131,0.09897465131
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,0,0.077
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.06784968345,-0.93670257454999994,1.004552258
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.9062657249,0.3608249064,0.5454408185
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.088,-0.08302534868999989,1.17102534869
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.332,0.062000000000000055,1.27
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1264346843,0.027460032989999994,0.09897465131
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,0,0.077
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.215640162,0.211087904,1.004552258
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.92283021,1.3773893915,0.5454408185
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.2055653157000001,0.03453996701000017,1.17102534869
