id_number,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string,run_number,N_N,NO2,PO4,SiO2,NH3,NO3
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,1.145,0.09390409366,0.08416047528,1.258988571,0.4231201663,1.05109590634
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,1.27,0.09897465131,0.077,1.004552258,0.5454408185,1.17102534869
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,0.296,0.01,0.077,0.3976745336,0.085,0.286
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,1.098,0.01,0.077,0.06784968345,0.9062657249,1.088
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,1.332,0.1264346843,0.077,1.215640162,1.92283021,1.2055653157000001
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,0.324,0.01,0.08837706936,0.7614242254,0.1262719034,0.314
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,0.711,0.08448734374,0.077,0.7840407865,0.7588924581,0.62651265626
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,2.095,0.07915338049,0.077,0.878276458,1.012192888,2.01584661951
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02,12:00:00,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,1.071,0.1082596984,0.1006497578,0.8952388789,0.4582610822,0.9627403015999999
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,0.746,0.1199153959,0.1320856665,0.9743968429,0.5382108693,0.6260846041
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,Coral,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,0.982,0.131175985,0.077,2.052452924,1.110133478,0.8508240149999999
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,CCA,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,1.587,0.01,0.077,0.01,2.151750578,1.577
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,Control,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02T12:00:00Z,1,0.539,0.1063500079,0.077,1.551119152,0.4633052328,0.43264999210000005
