id_number,otu_number,abund,kingdom,phylum,class,order,family,genus,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string
MOBEAST001,Otu0246,0,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0235,0,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Halobacteriovorax,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0025,0.027,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0342,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Lentilitoribacter,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0406,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0218,0,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0011,0.0183,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0165,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0093,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0083,0.0018,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0068,0.0012,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0116,0.0027,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0157,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0079,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0328,1e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0210,0,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0146,6e-4,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0232,3e-4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0012,0.0112,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0216,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0051,8e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0275,0,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0200,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0009,0.0073,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0077,8e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,S25-593_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0150,0,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0134,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0032,3e-4,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0005,0.0018,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0107,4e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade_ge,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0196,0,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0207,6e-4,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrionaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0099,0.0018,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0306,0,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovoracaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0090,0.0036,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0192,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0006,4e-4,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Marinobacterium,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0223,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0361,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0209,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0239,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Nitrincolaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0158,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0212,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0131,0.001,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Rubinisphaeraceae_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
MOBEAST001,Otu0284,0,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00
