tank_number,inflow_table,date,time,date_time,treatment,ph,ph_inflow,ph_diff,ta,ta_inflow,delta_ta
T1,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Algae,8.272669267393425,8.039081384592432,0.23358788280099319,2308.968,2343.183,-34.215000000000146
T2,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,CCA,8.147382772593602,8.035215197700206,0.11216757489339635,2215.542,2355.042,-139.5
T3,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Control,8.030935903973361,8.035215197700206,-0.004279293726844102,2357.832,2355.042,2.7899999999999636
T4,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Algae,8.080431172347458,8.035215197700206,0.045215974647252466,2425.624,2355.042,70.58199999999988
T5,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,CCA,8.093517642417265,8.035215197700206,0.05830244471705903,2327.843,2355.042,-27.19900000000007
T6,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Coral,8.090905911676884,8.035215197700206,0.05569071397667891,2289.006,2355.042,-66.03600000000006
T7,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Coral,8.04884072680115,8.035215197700206,0.013625529100943723,2346.496,2355.042,-8.545999999999822
T8,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Control,8.045235850951313,8.039081384592432,0.006154466358880839,2356.019,2343.183,12.835999999999785
T9,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Coral,8.06139510534282,8.039081384592432,0.022313720750387844,2344.891,2343.183,1.7080000000000837
T10,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,CCA,8.188787587480503,8.039081384592432,0.1497062028880709,2163.075,2343.183,-180.10800000000017
T11,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Control,8.034143683857662,8.039081384592432,-0.004937700734769734,2365.13,2343.183,21.947000000000116
T12,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,CCA,8.14851720815794,8.039081384592432,0.10943582356550863,2215.887,2343.183,-127.29599999999982
T13,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Algae,8.194982848963363,8.039081384592432,0.1559014643709311,2325.067,2343.183,-18.115999999999985
T14,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Algae,8.121747207855945,8.039081384592432,0.0826658232635129,2337.419,2343.183,-5.764000000000124
T15,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Control,8.047537343753547,8.039081384592432,0.008455959161114635,2362.45,2343.183,19.266999999999825
T16,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,Coral,8.061930575755891,8.039081384592432,0.02284919116345918,2340.188,2343.183,-2.994999999999891
T1,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Algae,8.156500947659813,8.052347272116135,0.10415367554367805,NA,NA,NA
T2,Table 2,2024-06-02,15:00:00,2024-06-02T15:00:00Z,CCA,8.08302700000504,8.051058127757331,0.03196887224770961,NA,NA,NA
T3,Table 2,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Control,8.054209090061915,8.051058127757331,0.003150962304584226,NA,NA,NA
T4,Table 2,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Algae,8.086999475236818,8.051058127757331,0.035941347479486296,NA,NA,NA
T5,Table 2,2024-06-02,15:00:00,2024-06-02T15:00:00Z,CCA,8.091033980973926,8.051058127757331,0.03997585321659436,NA,NA,NA
T6,Table 2,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Coral,8.066050844156697,8.051058127757331,0.014992716399365946,NA,NA,NA
T7,Table 2,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Coral,8.052628784769988,8.051058127757331,0.0015706570126567954,NA,NA,NA
T8,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Control,8.057015871921177,8.052347272116135,0.004668599805041751,NA,NA,NA
T9,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Coral,8.06614860993465,8.052347272116135,0.013801337818515336,NA,NA,NA
T10,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,CCA,8.063853453567754,8.052347272116135,0.011506181451618858,NA,NA,NA
T11,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Control,8.05110934857292,8.052347272116135,-0.0012379235432149471,NA,NA,NA
T12,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,CCA,8.058217200494955,8.052347272116135,0.005869928378819722,NA,NA,NA
T13,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Algae,8.164130173177238,8.052347272116135,0.11178290106110289,NA,NA,NA
T14,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Algae,8.099336310439366,8.052347272116135,0.04698903832323076,NA,NA,NA
T15,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Control,8.05794584112418,8.052347272116135,0.005598569008045118,NA,NA,NA
T16,Table 1,2024-06-02,15:00:00,2024-06-02T15:00:00Z,Coral,8.060003262225582,8.052347272116135,0.00765599010944662,NA,NA,NA
T1,Table 1,2024-06-02,18:00:00,2024-06-02T18:00:00Z,Algae,8.02190109957137,8.057287049229256,-0.03538594965788633,2370.89,2348.571,22.31899999999996
