sample_id,chla_conc
MOBEAST091,0.009583333333333336
MOBEAST092,0.1165289256198347
MOBEAST093,0.1875
MOBEAST094,0.2654166666666667
MOBEAST095,0.30855018587360594
MOBEAST096,0.11648745519713262
MOBEAST097,0.19586466165413532
MOBEAST098,0.04474708171206226
MOBEAST099,0.011764705882352941
MOBEAST100,0.15918367346938775
MOBEAST101,0.13580246913580246
MOBEAST102,0.030980392156862747
MOBEAST103,0.2620300751879699
MOBEAST104,0.2580882352941176
MOBEAST105,0.13418181818181818
MOBEAST106,0.17640449438202246
MOBEAST107,0.11054545454545454
MOBEAST108,0.013584905660377357
MOBEAST109,0.6456000000000001
MOBEAST111,0.072
MOBEAST115,0.3344
MOBEAST073,0.11782608695652176
MOBEAST074,0.0418103448275862
MOBEAST075,0.20913043478260868
MOBEAST076,0.2208695652173913
MOBEAST077,0.0699248120300752
MOBEAST078,0.031538461538461536
MOBEAST079,0.07809917355371901
MOBEAST080,0.1349593495934959
MOBEAST081,0.005454545454545454
MOBEAST082,0.007659574468085105
MOBEAST083,0.09374999999999999
MOBEAST084,0.08888888888888889
MOBEAST085,0.019354838709677417
MOBEAST086,0.02123893805309734
MOBEAST087,0.20474137931034483
MOBEAST088,0.03529411764705883
MOBEAST089,0.19111111111111112
MOBEAST090,0.03347826086956522
MOBEAST001,0.016
MOBEAST002,0.07519999999999999
MOBEAST003,0.0632
MOBEAST004,0.0892
MOBEAST005,0.0764
MOBEAST006,0.30519999999999997
MOBEAST007,0.5448
MOBEAST008,1.7544000000000002
MOBEAST009,0.8443999999999999
MOBEAST010,0.25120000000000003
MOBEAST011,0.3944
MOBEAST012,0.15480000000000002
MOBEAST013,0.30440000000000006
MOBEAST014,0.8872000000000001
MOBEAST015,0.5492
MOBEAST016,0.42960000000000004
MOBEAST017,0.6188
MOBEAST018,0.398
MOBEAST019,0.18280000000000002
MOBEAST020,0.028799999999999996
MOBEAST021,0.0748
MOBEAST022,0.022799999999999997
MOBEAST023,0.03
MOBEAST024,0.021200000000000004
MOBEAST025,0.0632
MOBEAST026,0.5976
MOBEAST027,0.24
MOBEAST028,0.037599999999999995
MOBEAST029,0.0292
MOBEAST030,0.19519999999999998
MOBEAST031,0.07759999999999999
MOBEAST032,0.11480000000000001
MOBEAST033,0.128
MOBEAST034,0.037200000000000004
MOBEAST035,0.0992
MOBEAST036,0.044
MOBEAST037,0.1008
MOBEAST038,0.0864
MOBEAST039,0.19039999999999999
MOBEAST040,0.0836
MOBEAST041,0.0712
MOBEAST042,0.0312
MOBEAST043,0.0404
MOBEAST044,0.0416
MOBEAST045,0.3532
MOBEAST046,0.048799999999999996
MOBEAST047,0.044800000000000006
MOBEAST048,0.0064
MOBEAST049,0.0192
MOBEAST050,0.0472
MOBEAST051,0.2484
MOBEAST052,0.014399999999999998
MOBEAST053,0.1436
MOBEAST054,0.0764
MOBEAST055,0.022400000000000003
MOBEAST056,0.0044
MOBEAST057,0.034
MOBEAST058,0.0088
MOBEAST059,0.04440000000000001
MOBEAST060,0.3872
MOBEAST061,0.1348
MOBEAST062,0.026400000000000003
MOBEAST063,0.1016
MOBEAST064,0.0508
MOBEAST065,0.020399999999999998
MOBEAST066,0.0516
MOBEAST067,0.1672
MOBEAST068,0.1024
MOBEAST069,0.088
MOBEAST070,0.0712
MOBEAST071,0.15519999999999998
MOBEAST072,0.022799999999999997
MOBEAST110,0.25880000000000003
