id_number,tank_number,treatment,inflow_table,date_time,date,time,nutrient,conc,outlier,time_string,date_string,date_time_string,conc_norm
MOBEAST001,F1,Inflow,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,138.7623813211,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.5859295069737698
MOBEAST002,F2,Inflow,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,146.089181590859,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,4.740870762785221
MOBEAST003,T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,215.527265965625,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,74.17895513755121
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,159.410636626786,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,18.06232579871221
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,207.700911132018,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,66.35260030394423
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,142.176004174056,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.827693345982226
MOBEAST008,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,183.972069349275,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,42.62375852120121
MOBEAST009,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,147.088290718554,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,5.739979890480214
MOBEAST010,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,137.430235817507,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-3.918075010566781
MOBEAST011,T9,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,144.840295181241,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,3.4919843531672257
MOBEAST012,T10,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,182.723182939657,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,41.374872111583215
MOBEAST013,T11,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,128.688030950181,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-12.660279877892776
MOBEAST014,T12,CCA,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,152.500131826899,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,11.15182099882523
MOBEAST015,T13,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,148.004140752274,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,6.655829924200219
MOBEAST016,T14,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,139.075990575071,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-2.272320253002789
MOBEAST017,T15,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,132.83155852698,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-8.516752301093788
MOBEAST018,T16,Coral,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,DOC,140.075099702765,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-1.2732111253087908
MOBEAST019,F1,Inflow,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,113.01589416104,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,3.9704180439109393
MOBEAST020,F2,Inflow,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,103.940652917815,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,-5.104823199314055
MOBEAST021,T1,Algae,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,118.261217081436,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,9.215740964306946
MOBEAST022,T2,CCA,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,105.855612079229,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,-3.189864037900051
MOBEAST023,T3,Control,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,100.277252782935,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,-8.768223334194062
MOBEAST024,T4,Algae,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,128.002531076457,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,18.957054959327934
MOBEAST025,T5,CCA,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,107.687312146669,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,-1.3581639704600548
MOBEAST026,T6,Coral,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,128.751862922228,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,19.70638680509896
MOBEAST027,T7,Coral,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,110.018566777956,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,0.9730906608269407
MOBEAST029,T9,Coral,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,140.574654266612,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,31.52917814948293
MOBEAST030,T10,CCA,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,123.423280907857,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,14.37780479072795
MOBEAST032,T12,CCA,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,123.173503625934,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,14.128027508804948
MOBEAST033,T13,Algae,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,131.249635741464,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,22.20415962433495
MOBEAST034,T14,Algae,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,102.858284696146,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,-6.187191420983055
MOBEAST035,T15,Control,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,129.001640204151,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,19.956164087021932
MOBEAST036,T16,Coral,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,DOC,134.330222218522,not outlier,18:00:00,2024-06-02,2024-06-02 18:00:00,25.284746101392955
