tank_number,treatment,inflow_table,date_time,date,time,org,conc_ul,outlier,time_string,date_string,date_time_string,conc_norm
F1,Inflow,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,444.9833333,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-17.505764717647082
F1,Inflow,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.5333333333,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,0.07129629628333334
F1,Inflow,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,123.9666667,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,0.10370371666667211
F2,Inflow,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,494.583,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,32.09390198235292
F2,Inflow,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.35,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.11203703701666667
F2,Inflow,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,123.7,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.1629629833333297
T1,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,463.478,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,0.9889019823528997
T1,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.216,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.24603703701666665
T1,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,111.614,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-12.248962983333328
T2,CCA,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.067,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.39503703701666665
T2,CCA,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,63.933,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-59.92996298333333
T3,Control,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,376.057,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-86.43209801764709
T3,Control,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.416,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.04603703701666667
T3,Control,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,104.409,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-19.453962983333327
T4,Algae,Table 2,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,516.14,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,53.65090198235288
