id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00853447977615506,UV-Humic,Humic,0,0.00853447977615506
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0486708207755194,Tyrosine,Proteinaceous,0,0.0486708207755194
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00527138334795566,Visible-Humic,Humic,0,0.00527138334795566
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0100632119825517,Marine Humic,Humic,0,0.0100632119825517
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0560012824498741,Tryptophan,Proteinaceous,0,0.0560012824498741
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.523827119720381,m_to_c,Humic,0,0.523827119720381
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.6731170747591,bix,Humic,0,0.6731170747591
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.403136920662016,hix,Humic,0,0.403136920662016
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0311201822058794,Phenylalanine,Proteinaceous,0,0.0311201822058794
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.8435321240008,Fluvic Acid,Humic,0,1.8435321240008
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.045838590706895,lignin,Other,0,0.045838590706895
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00714406465721162,UV-Humic,Humic,0,0.00714406465721162
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0386090829843418,Tyrosine,Proteinaceous,0,0.0386090829843418
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.0035346280335598,Visible-Humic,Humic,0,0.0035346280335598
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.00829575542638538,Marine Humic,Humic,0,0.00829575542638538
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0486005700587079,Tryptophan,Proteinaceous,0,0.0486005700587079
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.426076692463426,m_to_c,Humic,0,0.426076692463426
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.504732040305598,bix,Humic,0,0.504732040305598
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.410151375044197,hix,Humic,0,0.410151375044197
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0356020965202666,Phenylalanine,Proteinaceous,0,0.0356020965202666
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.59020197286869,Fluvic Acid,Humic,0,1.59020197286869
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0222023074347949,lignin,Other,0,0.0222023074347949
