ID Number,Long Name,Tank #,Treatment,Date,Time,Variable,Note 
,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,6/2/2024,1200,fDOM,
,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,6/2/2024,1200,fDOM,
,MOBEAST_T1_A_2024-06-02_1200,T1,A,6/2/2024,1200,fDOM,
,MOBEAST_T2_R_2024-06-02_1200,T2,R,6/2/2024,1200,fDOM,
,MOBEAST_T3_C_2024-06-02_1200,T3,C,6/2/2024,1200,fDOM,
,MOBEAST_T4_A_2024-06-02_1200,T4,A,6/2/2024,1200,fDOM,
,MOBEAST_T5_R_2024-06-02_1200,T5,R,6/2/2024,1200,fDOM,
,MOBEAST_T6_K_2024-06-02_1200,T6,K,6/2/2024,1200,fDOM,
,MOBEAST_T7_K_2024-06-02_1200,T7,K,6/2/2024,1200,fDOM,
,MOBEAST_T8_C_2024-06-02_1200,T8,C,6/2/2024,1200,fDOM,
,MOBEAST_T9_K_2024-06-02_1200,T9,K,6/2/2024,1200,fDOM,
,MOBEAST_T10_R_2024-06-02_1200,T10,R,6/2/2024,1200,fDOM,
,MOBEAST_T11_C_2024-06-02_1200,T11,C,6/2/2024,1200,fDOM,
,MOBEAST_T12_R_2024-06-02_1200,T12,R,6/2/2024,1200,fDOM,
,MOBEAST_T13_A_2024-06-02_1200,T13,A,6/2/2024,1200,fDOM,
,MOBEAST_T14_A_2024-06-02_1200,T14,A,6/2/2024,1200,fDOM,
,MOBEAST_T15_C_2024-06-02_1200,T15,C,6/2/2024,1200,fDOM,
,MOBEAST_T16_K_2024-06-02_1200,T16,K,6/2/2024,1200,fDOM,
,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,6/2/2024,1800,fDOM,
,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,6/2/2024,1800,fDOM,
,MOBEAST_T1_A_2024-06-02_1800,T1,A,6/2/2024,1800,fDOM,
,MOBEAST_T2_R_2024-06-02_1800,T2,R,6/2/2024,1800,fDOM,
,MOBEAST_T3_C_2024-06-02_1800,T3,C,6/2/2024,1800,fDOM,
,MOBEAST_T4_A_2024-06-02_1800,T4,A,6/2/2024,1800,fDOM,
,MOBEAST_T5_R_2024-06-02_1800,T5,R,6/2/2024,1800,fDOM,
,MOBEAST_T6_K_2024-06-02_1800,T6,K,6/2/2024,1800,fDOM,
,MOBEAST_T7_K_2024-06-02_1800,T7,K,6/2/2024,1800,fDOM,
,MOBEAST_T8_C_2024-06-02_1800,T8,C,6/2/2024,1800,fDOM,
,MOBEAST_T9_K_2024-06-02_1800,T9,K,6/2/2024,1800,fDOM,
,MOBEAST_T10_R_2024-06-02_1800,T10,R,6/2/2024,1800,fDOM,
,MOBEAST_T11_C_2024-06-02_1800,T11,C,6/2/2024,1800,fDOM,
,MOBEAST_T12_R_2024-06-02_1800,T12,R,6/2/2024,1800,fDOM,
,MOBEAST_T13_A_2024-06-02_1800,T13,A,6/2/2024,1800,fDOM,
,MOBEAST_T14_A_2024-06-02_1800,T14,A,6/2/2024,1800,fDOM,
,MOBEAST_T15_C_2024-06-02_1800,T15,C,6/2/2024,1800,fDOM,
,MOBEAST_T16_K_2024-06-02_1800,T16,K,6/2/2024,1800,fDOM,
,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,6/3/2024,0000,fDOM,
,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,6/3/2024,0000,fDOM,
,MOBEAST_T1_A_2024-06-03_0000,T1,A,6/3/2024,0000,fDOM,
,MOBEAST_T2_R_2024-06-03_0000,T2,R,6/3/2024,0000,fDOM,
,MOBEAST_T3_C_2024-06-03_0000,T3,C,6/3/2024,0000,fDOM,
,MOBEAST_T4_A_2024-06-03_0000,T4,A,6/3/2024,0000,fDOM,
,MOBEAST_T5_R_2024-06-03_0000,T5,R,6/3/2024,0000,fDOM,
,MOBEAST_T6_K_2024-06-03_0000,T6,K,6/3/2024,0000,fDOM,
,MOBEAST_T7_K_2024-06-03_0000,T7,K,6/3/2024,0000,fDOM,
,MOBEAST_T8_C_2024-06-03_0000,T8,C,6/3/2024,0000,fDOM,
,MOBEAST_T9_K_2024-06-03_0000,T9,K,6/3/2024,0000,fDOM,
,MOBEAST_T10_R_2024-06-03_0000,T10,R,6/3/2024,0000,fDOM,
,MOBEAST_T11_C_2024-06-03_0000,T11,C,6/3/2024,0000,fDOM,
,MOBEAST_T12_R_2024-06-03_0000,T12,R,6/3/2024,0000,fDOM,
,MOBEAST_T13_A_2024-06-03_0000,T13,A,6/3/2024,0000,fDOM,
,MOBEAST_T14_A_2024-06-03_0000,T14,A,6/3/2024,0000,fDOM,
