id_number,long_name,tank_number,treatment,date,time,variable,note
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,6/2/2024,1200,fDOM,NA
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,6/2/2024,1200,fDOM,NA
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,A,6/2/2024,1200,fDOM,NA
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,R,6/2/2024,1200,fDOM,NA
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,C,6/2/2024,1200,fDOM,NA
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,A,6/2/2024,1200,fDOM,NA
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,R,6/2/2024,1200,fDOM,NA
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,K,6/2/2024,1200,fDOM,NA
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,K,6/2/2024,1200,fDOM,NA
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,C,6/2/2024,1200,fDOM,NA
MOBEAST011,MOBEAST_T9_K_2024-06-02_1200,T9,K,6/2/2024,1200,fDOM,NA
MOBEAST012,MOBEAST_T10_R_2024-06-02_1200,T10,R,6/2/2024,1200,fDOM,NA
MOBEAST013,MOBEAST_T11_C_2024-06-02_1200,T11,C,6/2/2024,1200,fDOM,NA
MOBEAST014,MOBEAST_T12_R_2024-06-02_1200,T12,R,6/2/2024,1200,fDOM,NA
MOBEAST015,MOBEAST_T13_A_2024-06-02_1200,T13,A,6/2/2024,1200,fDOM,NA
MOBEAST016,MOBEAST_T14_A_2024-06-02_1200,T14,A,6/2/2024,1200,fDOM,NA
MOBEAST017,MOBEAST_T15_C_2024-06-02_1200,T15,C,6/2/2024,1200,fDOM,NA
MOBEAST018,MOBEAST_T16_K_2024-06-02_1200,T16,K,6/2/2024,1200,fDOM,NA
MOBEAST019,MOBEAST_F1_Inflow_2024-06-02_1800,F1,Inflow,6/2/2024,1800,fDOM,NA
MOBEAST020,MOBEAST_F2_Inflow_2024-06-02_1800,F2,Inflow,6/2/2024,1800,fDOM,NA
MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,A,6/2/2024,1800,fDOM,NA
MOBEAST022,MOBEAST_T2_R_2024-06-02_1800,T2,R,6/2/2024,1800,fDOM,NA
MOBEAST023,MOBEAST_T3_C_2024-06-02_1800,T3,C,6/2/2024,1800,fDOM,NA
MOBEAST024,MOBEAST_T4_A_2024-06-02_1800,T4,A,6/2/2024,1800,fDOM,NA
MOBEAST025,MOBEAST_T5_R_2024-06-02_1800,T5,R,6/2/2024,1800,fDOM,NA
MOBEAST026,MOBEAST_T6_K_2024-06-02_1800,T6,K,6/2/2024,1800,fDOM,NA
MOBEAST027,MOBEAST_T7_K_2024-06-02_1800,T7,K,6/2/2024,1800,fDOM,NA
MOBEAST028,MOBEAST_T8_C_2024-06-02_1800,T8,C,6/2/2024,1800,fDOM,NA
MOBEAST029,MOBEAST_T9_K_2024-06-02_1800,T9,K,6/2/2024,1800,fDOM,NA
MOBEAST030,MOBEAST_T10_R_2024-06-02_1800,T10,R,6/2/2024,1800,fDOM,NA
MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,C,6/2/2024,1800,fDOM,NA
MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,R,6/2/2024,1800,fDOM,NA
MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,A,6/2/2024,1800,fDOM,NA
MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,A,6/2/2024,1800,fDOM,NA
MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,C,6/2/2024,1800,fDOM,NA
MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,K,6/2/2024,1800,fDOM,NA
MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,6/3/2024,0000,fDOM,NA
MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,6/3/2024,0000,fDOM,NA
MOBEAST039,MOBEAST_T1_A_2024-06-03_0000,T1,A,6/3/2024,0000,fDOM,NA
MOBEAST040,MOBEAST_T2_R_2024-06-03_0000,T2,R,6/3/2024,0000,fDOM,NA
MOBEAST041,MOBEAST_T3_C_2024-06-03_0000,T3,C,6/3/2024,0000,fDOM,NA
MOBEAST042,MOBEAST_T4_A_2024-06-03_0000,T4,A,6/3/2024,0000,fDOM,NA
MOBEAST043,MOBEAST_T5_R_2024-06-03_0000,T5,R,6/3/2024,0000,fDOM,NA
MOBEAST044,MOBEAST_T6_K_2024-06-03_0000,T6,K,6/3/2024,0000,fDOM,NA
