uniqueID,Station,Cast,Group,Group2,Group3,Depth,description,collection
KM46,A,A1,Nearshore Euphotic,MLD,MLD,5,KM2315_A1_923_5M,KM46_a1_5
KM54,A,A1,Nearshore Euphotic,MLD,MLD,25,KM2315_A1_923_25M,KM54_a1_25
KM10,A,A1,Nearshore Euphotic,MLD,MLD,45,KM2315_A1_923_45M,KM10_a1_45
KM8,A,A1,Nearshore Euphotic,MLD,MLD,75,KM2315_A1_923_75M,KM8_a1_75
KM49,A,A1,Nearshore DCM,DCM,DCM,100,KM2315_A1_923_100M,KM49_a1_100
KM52,A,A1,Nearshore/Offshore 125m,DCM,DCM,125,KM2315_A1_923_125M,KM52_a1_125
KM17,A,A1,Nearshore 150m 175m,Deep,Deep,150,KM2315_A1_923_150M,KM17_a1_150
KM27,A,A1,Nearshore 150m 175m,Deep,Deep,175,KM2315_A1_923_175M,KM27_a1_175
KM59,A,A1,All 250m,Deep,Deep,250,KM2315_A1_923_200M,KM59_a1_200
KM3,A,A2,Nearshore DCM,DCM,MLD,DCM,KM2315_A2_924_DCM,KM3_a2_107
KM15,A,A2,Nearshore Euphotic,MLD,MLD,5,KM2315_A2_924_5M,KM15_a2_5
KM21,A,A2,Nearshore Euphotic,MLD,MLD,25,KM2315_A2_924_25M,KM21_a2_25
KM12,A,A2,Nearshore Euphotic,MLD,MLD,45,KM2315_A2_924_45M,KM12_a2_45
KM11,A,A2,Nearshore Euphotic,MLD,MLD,75,KM2315_A2_924_100M,KM11_a2_75
KM33,A,A2,Nearshore DCM,DCM,DCM,100,KM2315_A2_924_125M,KM33_a2_100
KM41,A,A2,Nearshore/Offshore 125m,DCM,DCM,125,KM2315_A2_924_150M,KM41_a2_125
KM60,A,A2,Nearshore 150m 175m,Deep,Deep,150,KM2315_A2_924_175M,KM60_a2_150
KM1,A,A2,Nearshore 150m 175m,Deep,Deep,175,KM2315_A2_924_75M,KM1_a2_175
KM42,A,A2,All 250m,Deep,Deep,250,KM2315_A2_924_250M,KM42_a2_250
KM45,B,B1,Offshore Euphotic,DCM,MLD,DCM,KM2315_B1_924_DCM,KM45_b1_93
KM26,B,B1,Offshore Euphotic,MLD,MLD,5,KM2315_B1_924_5M,KM26_b1_5
KM55,B,B1,Offshore Euphotic,MLD,MLD,25,KM2315_B1_924_25M,KM55_b1_25
KM20,B,B1,45m 75m Offshore,MLD,MLD,45,KM2315_B1_924_45M,KM20_b1_45
KM47,B,B1,45m 75m Offshore,MLD,MLD,75,KM2315_B1_924_75M,KM47_b1_75
KM57,B,B1,Offshore 100m,DCM,DCM,100,KM2315_B1_924_100M,KM57_b1_100
KM58,B,B1,B 125m,DCM,DCM,125,KM2315_B1_924_125M,KM58_b1_125
KM14,B,B1,Offshore 150m 175m,Deep,Deep,150,KM2315_B1_924_150M,KM14_b1_150
KM40,B,B1,Offshore 150m 175m,Deep,Deep,175,KM2315_B1_924_175M,KM40_b1_175
KM53,B,B1,All 250m,Deep,Deep,250,KM2315_B1_924_250M,KM53_b1_250
KM13,B,B2,Offshore Euphotic,DCM,MLD,DCM,KM2315_B2_924_DCM,KM13_b2_88
KM56,B,B2,Offshore Euphotic,MLD,MLD,5,KM2315_B2_924_5M,KM56_b2_5
KM23,B,B2,Offshore Euphotic,MLD,MLD,25,KM2315_B2_924_25M,KM23_b2_25
KM22,B,B2,45m 75m Offshore,MLD,MLD,45,KM2315_B2_924_45M,KM22_b2_45
KM39,B,B2,45m 75m Offshore,MLD,MLD,75,KM2315_B2_924_75M,KM39_b2_75
KM43,B,B2,Offshore 100m,DCM,DCM,100,KM2315_B2_924_100M,KM43_b2_100
KM25,B,B2,B 125m,DCM,DCM,125,KM2315_B2_924_125M,KM25_b2_125
KM61,B,B2,Offshore 150m 175m,Deep,Deep,150,KM2315_B2_924_150M,KM61_b2_150
KM32,B,B2,Offshore 150m 175m,Deep,Deep,175,KM2315_B2_924_175M,KM32_b2_175
KM37,B,B2,All 250m,Deep,Deep,250,KM2315_B2_924_250M,KM37_b2_250
KM28,C,C1,Offshore Euphotic,DCM,MLD,DCM,KM2315_C1_924_DCM,KM28_c1_132
KM62,C,C1,Offshore Euphotic,MLD,MLD,5,KM2315_C1_924_5M,KM62_c1_5
KM5,C,C1,Offshore Euphotic,MLD,MLD,25,KM2315_C1_924_25M,KM5_c1_25
KM2,C,C1,45m 75m Offshore,MLD,MLD,45,KM2315_C1_924_45M,KM2_c1_45
KM30,C,C1,45m 75m Offshore,MLD,MLD,75,KM2315_C1_924_75M,KM30_c1_75
KM7,C,C1,Offshore 100m,DCM,DCM,100,KM2315_C1_924_100M,KM7_c1_100
KM34,C,C1,Nearshore/Offshore 125m,DCM,DCM,125,KM2315_C1_924_125M,KM34_c1_125
