id_number,tank_number,treatment,inflow_table,date,time,flowrate,variable,value,variable_cat,units,outlier,delta,inflow_avg
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,het_bact,522.15,FCM,cell/µL,0,-9.158500000000004,531.3085
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,syn,119.15,FCM,cell/µL,0,0.30000000000001137,118.85
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,pro,21.15,FCM,cell/µL,0,1.6914999999999978,19.4585
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,tot_bact,662.45,FCM,cell/µL,0,-7.166500000000042,669.6165000000001
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,cyano,140.30000000000007,FCM,cell/µL,0,1.9915000000000305,138.30850000000004
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,chla_conc,0.016,chla,µg/L,0,-0.029599999999999994,0.045599999999999995
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,tn_u_m,11.7228421636312,DOC,µmol/L,0,-0.12886689941245066,11.85170906304365
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,coble_a,0.00853447977615506,fDOM,R.U.,0,6.952075594717205e-4,0.00783927221668334
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,coble_b,0.0486708207755194,fDOM,R.U.,0,0.005030868895588805,0.0436399518799306
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,coble_c,0.00527138334795566,fDOM,R.U.,0,8.683776571979298e-4,0.00440300569075773
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,coble_m,0.0100632119825517,fDOM,R.U.,0,8.837282780831592e-4,0.009179483704468541
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,coble_t,0.0560012824498741,fDOM,R.U.,0,0.0037003561955831,0.052300926254291
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,m_to_c,1.90902678069399,fDOM,R.U.,0,0,1.90902678069399
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,bix,0.6731170747591,fDOM,R.U.,0,0,0.6731170747591
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,hix,0.403136920662016,fDOM,R.U.,0,-0.003507227191090534,0.40664414785310654
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,fpeak,0.0311201822058794,fDOM,R.U.,0,-0.0022409571571936,0.033361139363073
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,fi,1.8435321240008,fDOM,R.U.,0,0.126665075566055,1.716867048434745
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,lignin,0.045838590706895,fDOM,R.U.,0,0.01181814163605005,0.03402044907084495
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,N_N,1.145,nutrients,µmol/L,0,-0.0625,1.2075
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,NO2,0.09390409366,nutrients,µmol/L,0,-0.002535278825000001,0.096439372485
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,PO4,0.08416047528,nutrients,µmol/L,0,0.0035802376399999974,0.08058023764
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,NH3,0.4231201663,nutrients,µmol/L,0,-0.06116032610000005,0.48428049240000004
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,NO3,1.05109590634,nutrients,µmol/L,0,-0.05996472117500007,1.1110606275150001
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,ph_diff,0,carbonate,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,delta_ta,0,carbonate,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,ta,2343.183,carbonate,NA,0,-5.929500000000189,2349.1125
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,ph,8.039081384592432,carbonate,NA,0,0.0019330934461123661,8.03714829114632
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,AEGEAN-169_marine_group,0.0027,DNA,NA,0,-0.012649999999999998,0.015349999999999999
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Alcanivoracaceae,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Alphaproteobacteria_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Alteromonadaceae,0.00409999999999999,DNA,NA,0,-0.00735,0.01144999999999999
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Alteromonadales_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Anaerolineae_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Arcobacteraceae,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Arctic97B-4_marine_group_fa,0.0025,DNA,NA,0,0,0.0025
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Arenicellaceae,3e-4,DNA,NA,0,4.999999999999997e-5,2.5e-4
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Bacteria_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Bacteriovoracaceae,0,DNA,NA,0,-5e-5,5e-5
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Bacteroidales_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Bacteroidetes_BD2-2,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Bacteroidia_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Bradymonadales_fa,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Campylobacterales_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Campylobacteria_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Cellvibrionaceae,6e-4,DNA,NA,0,-5.5e-4,0.00115
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Clade_I,0.0024,DNA,NA,0,-0.014950000000000001,0.01735
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Clade_II,0.0016,DNA,NA,0,-0.004600000000000001,0.006200000000000001
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Clade_IV,0,DNA,NA,0,-4e-4,4e-4
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Colwelliaceae,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Cryomorphaceae,0.0073,DNA,NA,0,2.500000000000002e-4,0.00705
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Cyclobacteriaceae,0,DNA,NA,0,-3e-4,3e-4
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Deltaproteobacteria_unclassified,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Desulfovibrionaceae,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Desulfuromonadaceae,0,DNA,NA,0,0,0
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,NA,Ectothiorhodospiraceae,5e-4,DNA,NA,0,-7.000000000000001e-4,0.0012000000000000001
