ID Number;Sample;NPOC (mg/L);TN (mg/L);NPOC (uM);TN (uM)
MOBEAST001;F1_IN 06/02/24 12:00 ;1.66663333333333;0.164198333333333;138.7623813211;11.7228421636312
MOBEAST002;F2_IN 06/02/24 12:00 ;1.75463333333333;0.167808333333333;146.089181590859;11.9805759624561
MOBEAST003;T1 06/02/24 12:00 ;2.58863333333333;0.211058333333333;215.527265965625;15.0683839400668
MOBEAST004;T2 06/02/24 12:00 ;1.91463333333333;0.200058333333333;159.410636626786;14.2830454948941
MOBEAST005;T3 06/02/24 12:00 ;2.49463333333333;0.360358333333333;207.700911132018;25.7275684731831
MOBEAST006;T4 06/02/24 12:00 ;3.10263333333333;0.202858333333333;258.322440268538;14.4829498263926
MOBEAST007;T5 06/02/24 12:00 ;1.70763333333333;0.186058333333333;142.176004174056;13.2835238374016
MOBEAST008;T6 06/02/24 12:00 ;2.20963333333333;0.270758333333333;183.972069349275;19.3306298652312
MOBEAST009;T7 06/02/24 12:00 ;1.76663333333333;0.194358333333333;147.088290718554;13.8760973914865
MOBEAST010;T8 06/02/24 12:00 ;1.65063333333333;0.189458333333333;137.430235817507;13.5262648113641
MOBEAST011;T9 06/02/24 12:00 ;1.73963333333333;0.175988333333333;144.840295181241;12.5645821880481
MOBEAST012;T10 06/02/24 12:00 ;2.19463333333333;0.319158333333333;182.723182939657;22.7861190239909
MOBEAST013;T11 06/02/24 12:00 ;1.54563333333333;0.195558333333333;128.688030950181;13.9617706764144
MOBEAST014;T12 06/02/24 12:00 ;1.83163333333333;0.242258333333333;152.500131826899;17.2958893481929
MOBEAST015;T13 06/02/24 12:00 ;1.77763333333333;0.195558333333333;148.004140752274;13.9617706764144
MOBEAST016;T14 06/02/24 12:00 ;1.6704;0.15784;139.075990575071;11.2688927441867
MOBEAST017;T15 06/02/24 12:00 ;1.5954;0.1594;132.83155852698;11.380268014593
MOBEAST018;T16 06/02/24 12:00 ;1.6824;0.17692;140.075099702765;12.6310979745408
MOBEAST019;F1_IN 06/02/24 18:00 ;1.3574;0.22562;113.01589416104;16.1080054545325
MOBEAST020;F2_IN 06/02/24 18:00 ;1.2484;0.15196;103.940652917815;10.8490936480399
MOBEAST021;T1 06/02/24 18:00 ;1.4204;0.15567;118.261217081436;11.1139668872754
MOBEAST022;T2 06/02/24 18:00 ;1.2714;0.15449;105.855612079229;11.0297214904296
MOBEAST023;T3 06/02/24 18:00 ;1.2044;0.16682;100.277252782935;11.910014493064
MOBEAST024;T4 06/02/24 18:00 ;1.5374;0.15008;128.002531076457;10.7148721683194
MOBEAST025;T5 06/02/24 18:00 ;1.2934;0.15911;107.687312146669;11.3595636374021
MOBEAST026;T6 06/02/24 18:00;1.5464;0.22192;128.751862922228;15.843846159338
MOBEAST027;T7 06/02/24 18:00 ;1.3214;0.16377;110.018566777956;11.6922615605389
MOBEAST028;T8 06/02/24 18:00 ;5.1504;0.16905;428.817637606468;12.0692240142218
MOBEAST029;T9 06/02/24 18:00;1.6884;0.31972;140.574654266612;22.8262188809641
MOBEAST030;T10 06/02/24 18:00 ;1.4824;0.24722;123.423280907857;17.6501245832352
MOBEAST031;T11 06/02/24 18:00 ;4.6584;0.23022;387.854163370994;16.4364197134229
MOBEAST032;T12 06/02/24 18:00 ;1.4794;0.21692;123.173503625934;15.486874138805
MOBEAST033;T13 06/02/24 18:00 ;1.5764;0.21842;131.249635741464;15.5939657449649
MOBEAST034;T14 06/02/24 18:00;1.2354;0.16451;102.858284696146;11.7450934195778
MOBEAST035;T15 06/02/24 18:00 ;1.5494;0.25382;129.001640204151;18.1213276503388
MOBEAST036;T16 06/02/24 18:00 ;1.6134;0.28202;134.330222218522;20.1346498461451
MOBEAST037;F1_IN 06/03/24 0:00 ;3.8264;0.16384;318.582597184177;11.6972591688263
MOBEAST038;F2_IN 06/03/24 0:00 ;3.8684;0.15447;322.079479131108;11.0282936023474
MOBEAST039;T1 06/03/24 0:00 ;1.8994;0.28342;158.14232309524;20.2346020118943
MOBEAST040;T2 06/03/24 0:00 ;4.2644;0.1692;355.050080345026;12.0799331748378
MOBEAST041;T3 06/03/24 0:00 ;4.0454;0.18142;336.816338764602;12.9523727930205
MOBEAST042;T4 06/03/24 0:00 ;1.3054;0.1425;108.686421274364;10.1737025851914
MOBEAST043;T5 06/03/24 0:00 ;3.7404;0.15831;311.422315102367;11.3024481141168
MOBEAST044;T6 06/03/24 0:00 ;1.1394;0.14535;94.8654116745902;10.3771766368952
MOBEAST045;T7 06/03/24 0:00 ;1.1094;0.14185;92.367638855354;10.1272962225221
MOBEAST046;T8 06/03/24 0:00 ;1.0304;0.14229;85.7901704313654;10.158709760329
MOBEAST047;T9 06/03/24 0:00 ;1.0664;0.14926;88.7874978144488;10.656328756952
MOBEAST048;T10 06/03/24 0:00 ;1.0434;0.15175;86.8725386530344;10.8341008231775
MOBEAST049;T11 06/03/24 0:00 ;0.9794;0.14112;81.5439566386639;10.0751783075243
MOBEAST050;T12 06/03/24 0:00 ;1.0054;0.14217;83.7086930820019;10.1501424318362
MOBEAST051;T13 06/03/24 0:00;4.3504;0.158;362.210362426836;11.2803158488438
MOBEAST052;T14 06/03/24 0:00;1.1954;0.13785;99.5279209371644;9.84171860609565
MOBEAST053;T15 06/03/24 0:00 ;1.1184;0.1698;93.1169707011248;12.1227698173017
MOBEAST054;T16 06/03/24 0:00 ;1.0744;0.15475;89.4535705662451;11.0482840354973
MOBEAST055;F1_IN 06/03/24 6:00 ;0.9016;0.14153;75.0663991274447;10.104450013208
MOBEAST057;T1 06/03/24 6:00 ;1.0154;0.14082;84.5412840217473;10.0537599862923
MOBEAST058;T2 06/03/24 6:00 ;0.9534;0.13379;79.3792201953258;9.55185732542283
MOBEAST059;T3 06/03/24 6:00 ;0.8591;0.14462;71.5278876335268;10.3250587218974
MOBEAST060;T4 06/03/24 6:00 ;1.5814;0.19512;131.665931211337;13.930476129281
MOBEAST061;T5 06/03/24 6:00 ;0.9028;0.15136;75.1663100402142;10.8062570055759
MOBEAST062;T6 06/03/24 6:00;1.0014;0.17842;83.3756567061037;12.7381895807007
MOBEAST063;T7 06/03/24 6:00 ;1.1904;0.18102;99.1116254672917;12.9238150313778
MOBEAST064;T8 06/03/24 6:00 ;0.98725;0.16429;82.197540526364;11.7293866506743
MOBEAST065;T9 06/03/24 6:00 ;1.81005;0.2532;150.703123048615;18.0770631197927
MOBEAST066;T10 06/03/24 6:00 ;1.81005;0.3016;150.703123048615;21.5325522785524
MOBEAST067;T11 06/03/24 6:00 ;1.04505;1.1192;87.0099161580924;79.9046170761136
MOBEAST069;T13 06/03/24 6:00 ;1.40505;0.1728;116.983189988927;12.3369530296215
MOBEAST070;T14 06/03/24 6:00 ;1.52805;0.2174;127.224058547795;15.5211434527762
MOBEAST071;T15 06/03/24 6:00 ;1.83905;0.2247;153.117636773877;16.0423226027544
MOBEAST072;T16 06/03/24 6:00;1.09605;0.16031;91.2561299507939;11.44523692233
MOBEAST073;F1 06/04/24 12:00 ;1.07305;0.14723;89.3411707893795;10.5113981166156
MOBEAST074;F2_IN 06/04/24 12:00 ;1.10705;0.14594;92.1719799845138;10.4192993353181
MOBEAST075;T1 06/04/24 12:00 ;1.16905;0.14878;97.3340438109352;10.6220594429809
MOBEAST076;T2 06/04/24 12:00;1.21105;0.1496;100.830925757866;10.6806028543483
MOBEAST077;T3 06/04/24 12:00;1.04605;0.1391;87.0931752520669;9.93096161122891
MOBEAST078;T4 06/04/24 12:00 ;1.24605;0.14615;103.744994046975;10.4342921601805
MOBEAST079;T5 06/04/24 12:00 ;1.09105;0.14556;90.8398344809212;10.3921694617576
MOBEAST080;T6 06/04/24 12:00 ;1.15105;0.15158;95.8353801193935;10.8219637744794
MOBEAST081;T7 06/04/24 12:00;1.14205;0.1446;95.0860482736227;10.3236308338152
MOBEAST082;T8 06/04/24 12:00 ;1.14005;0.14449;94.9195300856736;10.3157774493635
MOBEAST083;T9 06/04/24 12:00 ;1.15405;0.14186;96.0851574013171;10.1280101665631
MOBEAST084;T10 06/04/24 12:00;1.11705;0.14458;93.0045709242592;10.3222029457331
MOBEAST085;T11 06/04/24 12:00 ;1.06105;0.1459;88.342061661685;10.4164435591538
MOBEAST086;T12 06/04/24 12:00 ;1.11505;0.14542;92.8380527363101;10.3821742451827
MOBEAST087;T13 06/04/24 12:00 ;1.44605;0.15301;120.396812841883;10.9240577723518
MOBEAST088;T14 06/04/24 12:00;1.25505;0.1429;104.494325892746;10.202260346834
MOBEAST089;T15 06/04/24 12:00 ;1.08005;0.14916;89.9239844472012;10.6491893165414
MOBEAST090;T16 06/04/24 12:00 ;1.11805;0.14529;93.0878300182338;10.3728929726488
MOBEAST091;F1_IN 06/06/24 12:00 ;1.87005;0.17141;155.698668687087;12.2377148079134
MOBEAST092;F2_IN 06/06/24 12:00 ;1.97605;0.1784;164.524132648389;12.7367616926185
MOBEAST093;T1 06/06/24 12:00 ;2.01605;0.1951;167.85449640737;13.9290482411989
MOBEAST094;T2 06/06/24 12:00 ;2.54805;0.6732;212.148334401825;48.0627128445672
MOBEAST095;T3 06/06/24 12:00 ;1.60205;0.16037;133.385231501911;11.4495205865764
MOBEAST096;T4 06/06/24 12:00 ;1.87205;0.1809;155.865186875036;12.9152477028851
MOBEAST097;T5 06/06/24 12:00 ;2.44205;0.6728;203.322870440524;48.0341550829246
MOBEAST098;T6 06/06/24 12:00 ;1.86005;0.16493;154.866077747342;11.7750790693026
MOBEAST099;T7 06/06/24 12:00 ;1.92505;0.1651;160.277918855687;11.7872161180007
MOBEAST100;T8 06/06/24 12:00 ;1.92605;0.228;160.361177949662;16.2779241363062
MOBEAST101;T9 06/06/24 12:00 ;2.03505;0.1925;169.436419192886;13.7434227905217
MOBEAST102;T10 06/06/24 12:00 ;1.77605;0.1573;147.872313853481;11.2303397659691
MOBEAST103;T11 06/06/24 12:00;2.00005;0.2388;166.522350903777;17.0489837006575
MOBEAST104;T12 06/06/24 12:00 ;1.76405;0.16299;146.873204725786;11.6365739253357
MOBEAST105;T13 06/06/24 12:00;1.85805;0.1776;154.699559559393;12.6796461693332
MOBEAST106;T14 06/06/24 12:00 ;2.09305;0.4273;174.26544664341;30.5068288747528
MOBEAST107;T15 06/06/24 12:00 ;1.86305;0.16441;155.115855029266;11.7379539791671
MOBEAST108;T16 06/06/24 12:00 ;1.86905;0.179;155.615409593113;12.7795983350825
MOBEAST109;BAY 05/27/24 15:00 ;0.87785;0.15041;73.0889956455494;10.7384323216746
MOBEAST110;OCEAN 05/27/24 15:00 ;0.84625;0.14865;70.4580082759539;10.612778170447
MOBEAST111;LAGOON 05/27/24 16:45 ;0.82315;0.13967;68.5347232051421;9.97165642156968
MOBEAST115;BAY 06/06/24 14:25;1.00805;0.1888;83.9293296810344;13.4792634953272
