Sample ID;NPOC (mg/L);TN (mg/L);NPOC (uM);TN (uM)
TAU824001;0.55238;0.113721428571429;45.9906583296561;8.11907362700911
TAU824002;0.84268;0.128111428571429;70.1607733104648;9.14643910210318
TAU824003;0.81288;0.118951428571429;67.6796523100236;8.49246636048666
TAU824004;0.80188;0.122221428571429;66.7638022763036;8.72592606191527
TAU824005;0.81518;0.114671428571429;67.871148226165;8.18689831091039
TAU824006;0.88138;0.152951428571429;73.3829002472795;10.9198761001113
TAU824007;1.45788;0.136081428571429;121.381767923601;9.71545250283283
TAU824008;0.85648;0.139151428571429;71.3097488073135;9.93463332344011
TAU824009;0.84448;0.142041428571429;70.310639679619;10.1409631513082
TAU824010;0.85078;0.122741428571429;70.8351719716586;8.7630511520507
TAU824011;0.86518;0.116791428571429;72.034102924892;8.33825444761639
TAU824012;0.78298;0.140681428571429;65.1902054001849;10.0438667617232
TAU824013;0.83248;0.140511428571429;69.3115305519245;10.0317297130251
TAU824014;0.84388;0.145281428571429;70.2606842232343;10.3722810206136
TAU824015;0.79598;0.121591428571429;66.2725736218539;8.68094758732811
TAU824016;0.86818;0.128811428571429;72.2838802068156;9.1964151849778
TAU824017;1.09488;0.134221428571429;91.1587168108437;9.58265891119454
TAU824018;0.78638;0.144861428571429;65.4732863196983;10.3422953708888
TAU824019;0.54688;0.108181428571429;45.5327333127961;7.72354862825852
TAU824020;0.81208;0.130281428571429;67.6130450348439;9.30136495901451
TAU824021;0.91468;0.135411428571429;76.1554280766317;9.6676182520814
TAU824022;0.84928;0.130781428571429;70.7102833306968;9.33706216106781
TAU824023;0.79728;0.136311428571429;66.3808104440208;9.73187321577735
TAU824024;0.76988;0.126771428571429;64.0995112691184;9.05077060060033
TAU824025;0.83638;0.113431428571429;69.6362410184253;8.0983692498182
TAU824026;0.85018;0.135551428571429;70.7852165152739;9.67761346865633
TAU824027;0.80258;0.118021428571429;66.8220836420858;8.42606956466752
TAU824028;0.95718;0.139451428571429;79.6939395705496;9.95605164467209
TAU824029;0.78598;0.135471428571429;65.4399826821085;9.6719019163278
TAU824030;0.84958;0.139891428571429;70.7352610588892;9.987465182479
TAU824031;0.77588;0.137511428571429;64.5990658329656;9.81754650070527
TAU824032;0.74158;0.117311428571429;61.7432789096389;8.37537953775183
TAU824033;0.78148;0.120711428571429;65.065316759223;8.61812051171429
TAU824034;0.71988;0.129531428571429;59.9365565703914;9.24781915593456
TAU824035;0.75718;0.121941428571429;63.0421207756417;8.70593562876542
TAU824036;0.86518;0.154661428571429;72.034102924892;11.0419605311336
TAU824037;0.47198;0.0993914285714286;39.2966271741031;7.09599181616145
TAU824038;0.79458;0.153721428571429;66.1560108902895;10.9748497912734
TAU824039;0.81888;0.150661428571429;68.1792068738708;10.7563829147071
TAU824040;0.83338;0.134401428571429;69.3864637365016;9.59550990393373
TAU824041;0.78928;0.132721428571429;65.7147376922244;9.47556730503463
TAU824042;0.85408;0.125741428571429;71.1099269817746;8.97723436437052
TAU824043;0.79538;0.123261428571429;66.2226181654691;8.80017624218614
TAU824044;0.85228;0.132631428571429;70.9600606126204;9.46914180866504
TAU824045;0.78928;0.121901428571429;65.7147376922244;8.70307985260115
TAU824046;0.77428;0.132851428571429;64.4658512826064;9.48484857756849
TAU824047;0.79168;0.123431428571429;65.9145595177633;8.81231329088426
TAU824048;0.68158;0.127791428571429;56.7477332711666;9.12359289278906
TAU824049;0.78748;0.132331428571429;65.5648713230703;9.44772348743306
TAU824050;0.72608;0.114591428571429;60.4527629530335;8.18118675858186
TAU824051;0.80518;0.132811428571429;67.0385572864196;9.48199280140423
TAU824052;0.81448;0.130201428571429;67.8128668603828;9.29565340668598
TAU824053;0.74768;0.117951428571429;62.2511593828836;8.42107195638006
TAU824054;0.64748;0.118631428571429;53.9085981666348;8.46962015117255
TAU824055;0.42828;0.0969614285714286;35.6582047674157;6.9225034141824
TAU824056;0.77778;0.126041428571429;64.7572581115172;8.9986526856025
TAU824057;0.84688;0.137381428571429;70.5104615051579;9.80826522817142
TAU824058;0.80388;0.135781428571429;66.9303204642527;9.69403418160084
TAU824059;0.82128;0.127401428571429;68.3790286994097;9.09574907518748
TAU824060;0.70068;0.119991428571429;58.3379819660803;8.56671654075753
TAU824061;0.817683333333333;0.146133333333333;68.0795734914146;10.4331022534454
TAU824062;0.758783333333333;0.128923333333333;63.1756128563142;9.20440455877069
TAU824063;0.535383333333333;0.124263333333333;44.5755312624021;8.8717066356339
TAU824064;0.334983333333333;0.109433333333333;27.8904088299044;7.81292762273293
TAU824065;0.818983333333333;0.141133333333333;68.1878103135815;10.0761302329123
TAU824067;0.761183333333333;0.130283333333333;63.3754346818531;9.30150094835567
TAU824068;0.789483333333333;0.135743333333333;65.7316670413326;9.69131439477774
TAU824070;0.766783333333333;0.132943333333333;63.8416856081105;9.49141006327924
TAU824071;0.827283333333333;0.145793333333333;68.8788607935702;10.4088281560491
TAU824073;0.778983333333333;0.147343333333333;64.8574465545999;10.5194894824144
TAU824074;1.80488333333333;2.98403333333333;150.27295106308;213.043281667583
