Sample_ID	long_name	extraction_vol	dilution_factor	fluorometer	Vol_1	Vol_2	Vol_3_half
MOBEAST091	MOBEAST_F1_Inflow_2024-06-06_12:00	5	1	0.23	47.5	47.5	25
MOBEAST092	MOBEAST_F2_Inflow_2024-06-06_12:00	5	1	2.82	48	48	25
MOBEAST093	MOBEAST_T1_A_2024-06-06_12:00	5	1	4.5	47.5	47.5	25
MOBEAST094	MOBEAST_T2_R_2024-06-06_12:00	5	1	6.37	47.5	47.5	25
MOBEAST095	MOBEAST_T3_C_2024-06-06_12:00	5	1	8.3	55	51.5	28
MOBEAST096	MOBEAST_T4_A_2024-06-06_12:00	5	1	3.25	56	55	28.5
MOBEAST097	MOBEAST_T5_R_2024-06-06_12:00	5	1	5.21	52.5	53	27.5
MOBEAST098	MOBEAST_T6_K_2024-06-06_12:00	5	1	1.15	51	51	26.5
MOBEAST099	MOBEAST_T7_K_2024-06-06_12:00	5	1	0.3	50.5	50.5	26.5
MOBEAST100	MOBEAST_T8__2024-06-06_12:00	5	1	3.9	46.5	50	26
MOBEAST101	MOBEAST_T9__2024-06-06_12:00	5	1	3.3	48	NA	25.5
MOBEAST102	MOBEAST_T10_R_2024-06-06_12:00	5	1	0.79	50	NA	27.5
MOBEAST103	MOBEAST_T11_C_2024-06-06_12:00	5	1	6.97	52.5	NA	28
MOBEAST104	MOBEAST_T12_R_2024-06-06_12:00	5	1	7.02	55	NA	26
MOBEAST105	MOBEAST_T13_A_2024-06-06_12:00	5	1	3.69	NA	NA	27.5
MOBEAST106	MOBEAST_T14_A_2024-06-06_12:00	5	1	4.71	53	NA	27.5
MOBEAST107	MOBEAST_T15_C_2024-06-06_12:00	5	1	3.04	55	NA	27.5
MOBEAST108	MOBEAST_T16_K_2024-06-06_12:00	5	1	0.36	52.5	NA	27.5
MOBEAST109	MOBEAST_Bay _Endmember_2024-05-27_15:00	5	1	16.14	125	NA	NA
MOBEAST111	MOBEAST_Lagoon_Endmember_2024-05-27_16:45	5	1	1.8	125	NA	NA
MOBEAST115	MOBEAST_Bay _Rain_2024-06-06_14:25	5	1	8.36	125	NA	NA
MOBEAST073	MOBEAST_F1_Inflow_2024-06-04_12:00	5	1	2.71	NA	35	45
MOBEAST074	MOBEAST_F2_Inflow_2024-06-04_12:00	5	1	0.97	NA	35	46
MOBEAST075	MOBEAST_T1_A_2024-06-04_12:00	5	1	4.81	NA	35	45
MOBEAST076	MOBEAST_T2_R_2024-06-04_12:00	5	1	5.08	NA	35	45
MOBEAST077	MOBEAST_T3_C_2024-06-04_12:00	5	1	1.86	NA	40	53
MOBEAST078	MOBEAST_T4_A_2024-06-04_12:00	5	1	0.82	NA	40	50
MOBEAST079	MOBEAST_T5_R_2024-06-04_12:00	5	1	1.89	NA	37	47
MOBEAST080	MOBEAST_T6_K_2024-06-04_12:00	5	1	3.32	NA	39	45
MOBEAST081	MOBEAST_T7_K_2024-06-04_12:00	5	1	0.12	NA	37	36
MOBEAST082	MOBEAST_T8_C_2024-06-04_12:00	5	1	0.36	NA	NA	47
MOBEAST083	MOBEAST_T9_K_2024-06-04_12:00	5	1	1.8	NA	27	42
MOBEAST084	MOBEAST_T10_R_2024-06-04_12:00	5	1	1.6	NA	36	NA
MOBEAST085	MOBEAST_T11_C_2024-06-04_12:00	5	1	0.48	NA	37	50
MOBEAST086	MOBEAST_T12_R_2024-06-04_12:00	5	1	0.48	NA	33	47
MOBEAST087	MOBEAST_T13_A_2024-06-04_12:00	5	1	4.75	NA	35	46
MOBEAST088	MOBEAST_T14_A_2024-06-04_12:00	5	1	1.08	NA	50	53
MOBEAST089	MOBEAST_T15_C_2024-06-04_12:00	5	1	3.44	NA	25	40
MOBEAST090	MOBEAST_T16_K_2024-06-04_12:00	5	1	0.77	NA	35	45
MOBEAST001	MOBEAST_F1_Inflow_2024-06-02_12:00	5	1	0.4	125	NA	NA
MOBEAST002	MOBEAST_F2_Inflow_2024-06-02_12:00	5	1	1.88	125	NA	NA
MOBEAST003	MOBEAST_T1_A_2024-06-02_12:00	5	1	1.58	125	NA	NA
MOBEAST004	MOBEAST_T2_R_2024-06-02_12:00	5	1	2.23	125	NA	NA
MOBEAST005	MOBEAST_T3_C_2024-06-02_12:00	5	1	1.91	125	NA	NA
MOBEAST006	MOBEAST_T4_A_2024-06-02_12:00	5	1	7.63	125	NA	NA
MOBEAST007	MOBEAST_T5_R_2024-06-02_12:00	5	1	13.62	125	NA	NA
MOBEAST008	MOBEAST_T6_K_2024-06-02_12:00	5	1	43.86	125	NA	NA
MOBEAST009	MOBEAST_T7_K_2024-06-02_12:00	5	1	21.11	125	NA	NA
MOBEAST010	MOBEAST_T8_C_2024-06-02_12:00	5	1	6.28	125	NA	NA
MOBEAST011	MOBEAST_T9_K_2024-06-02_12:00	5	1	9.86	125	NA	NA
