"X","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240","UniqueID"
248.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MilliQ1_run3_1"
252.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MilliQ1_run3_1"
257.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"MilliQ1_run3_1"
261.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140687084749922,0,"MilliQ1_run3_1"
266.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"MilliQ1_run3_1"
270.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"MilliQ1_run3_1"
275.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0116316456351001,"MilliQ1_run3_1"
279.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0145386988296434,0.0368962388865236,"MilliQ1_run3_1"
284.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"MilliQ1_run3_1"
288.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00482623177814794,0.00827117920940947,0.0175990111237267,"MilliQ1_run3_1"
293.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000167550334832575,0,"MilliQ1_run3_1"
297.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.000394587488147073,0,0.00346358973658616,0,0.0107671211097511,"MilliQ1_run3_1"
302.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00145070812972577,0,0,0,"MilliQ1_run3_1"
306.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
311.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.000866162065686767,0,0,"MilliQ1_run3_1"
315.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.00051090295510074,0,0,0,0,"MilliQ1_run3_1"
320.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121239452777557,"MilliQ1_run3_1"
324.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
329.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
334.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
338.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114974940713127,"MilliQ1_run3_1"
343.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390104211104305,0.0384793006870957,"MilliQ1_run3_1"
347.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
352.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
356.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010060659939176,0,0.0226692310523493,"MilliQ1_run3_1"
361.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
365.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053109960455752,0,"MilliQ1_run3_1"
370.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.000234111531814031,0.000293034713855516,0.000612056335651425,0.000350570331553685,0.000563412619272767,0,0,0,0,0,0,0,0,0.00278212813121067,0.00339074250976758,0,"MilliQ1_run3_1"
375.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39721361799356e-06,4.9847898119652e-05,0,0.000111614494278175,0,0,0,0,0.000310692960649253,0.000736978057469188,0.000445053677395633,0.000581667963113487,0.000764635487326508,0,0.00108303746761158,0.00011004959337493,0.000395546700767026,0,0.00125890278673087,0.00174748664364802,0.00306916670296329,0.00573296779890912,0.00671215655692983,0.017954581864426,0.0181961888339008,"MilliQ1_run3_1"
379.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,7.69351181568296e-06,0.000226376830352536,0.000425036690854436,0,0,0,0.000113567623348273,0,0,0.000388687399017086,0.000699009095120632,0.000323265336512869,0.00452719910956483,0.0146271547275188,0,"MilliQ1_run3_1"
384.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.000206948168438931,0.000352377988259695,0.000170709073315408,0,0.000137358638834288,0,0.000515266231291423,0.000246196539405502,0.000251328758536991,0,0,0.000714547477876221,0.000919898998675866,0.000349913691500162,0,"MilliQ1_run3_1"
388.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
393.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241264027398324,0,0,0,0,0,0,0,0,0,0.00040890179143762,0,0,0,"MilliQ1_run3_1"
397.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.000406663255524453,0.000385266065518177,0,0,0.000269938425983117,0.000185272015829245,0.000354510044877593,0.000602754468266598,0.000495123430639047,0.000962532446391109,0.000816892463902582,5.44346983858777e-05,0.000401074437320791,0.000121933348569963,0.0001121415477961,0,0,0,0.00416783139677115,0.00235197643194476,0.0156344315413374,"MilliQ1_run3_1"
402.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.31965533255019e-05,0,0,0,0,0,0,2.71441171482248e-05,0.000117845356011234,0,0.000379736650066224,0.000101193153688745,0.000639164253009082,0.000403714340447349,1.80589869776748e-06,0.000594508442756781,3.38307502643681e-05,0.000198784533641959,0,0,0,0,0.00120387186864259,0.00019300972904149,0,0.00253391847250199,0,"MilliQ1_run3_1"
407.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.000105004945840451,0,0,0,9.19966275388373e-05,0.000360364632709335,0.000566940011215381,0.000627653210052459,0.000187539351970594,3.96975308340464e-05,0.000381321346885267,0.00011737113546427,4.22691777821905e-05,0.000661671954346205,0.000316230806192413,0,0.0006205111988651,0.000688578542726786,0,0,0.000468824839744729,0.000108159481397815,0.00141706536356681,0,0.00522096548200204,0,"MilliQ1_run3_1"
411.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114897259701674,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
416.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.000170061704662328,0,0.000120627546271766,0,0,0,0,5.70322470519275e-05,0,6.39858243745501e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
420.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.70914928276849e-05,0,0,0,0,0,0,0,0,0,0.000100640551461571,0.000352002068584215,0,0.000287014261054716,0.000106782661414973,0,0,0.000829280559148825,0.000473437721655531,0,0,0.000136569736243478,0,0,8.63666223017668e-05,0,7.19883846245846e-05,0,0.000384999079801316,0.00127189173305182,0.00165937480061146,0.00711761154420677,0,"MilliQ1_run3_1"
425.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6.54172483234173e-05,5.49733596981496e-05,0,0,3.24706207702444e-05,0,0.000422545107956348,0,4.11103842185376e-05,0,0,0,0,0,0.000654633279923794,0,0,0,5.4040694665401e-05,0,0.000593099248934338,0.00145855431143822,0,0.0030767373419258,0.000151121076691858,"MilliQ1_run3_1"
430.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37157015663595e-05,0,0,0,0,0,0,0,0,0,0,0.00129877069871436,0,0,0,"MilliQ1_run3_1"
434.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181369074234753,0,0,0,0,0,0,0,0,0,"MilliQ1_run3_1"
439.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49814826657313e-05,0,0.000217046382524097,0,0,0.000359393760276926,0,0,0,0,7.19335272284091e-05,0.000313480557982519,0,0.000286321384443159,0.000142494513082683,7.20404544535041e-05,0.000166272276809624,0.000399995213134627,3.461804173379e-05,0,0,0,0.000476632845053999,0.000313320105540675,0.000550185632418087,0.000273689400434383,0,0.000219344572868798,1.31678180495119e-06,4.39438207118291e-05,0.000631728808987432,0.00109897528630901,0.00417953025953582,0.00230676067114348,0.0048062172846805,0,0.0139525972008205,"MilliQ1_run3_1"
444.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.00052497557917628,0.000378469659574636,0,0,0,0,0,2.65091989334011e-05,0,8.96462156718573e-05,0,6.71661636429883e-05,0,0,0.000147516712806151,3.68286217023707e-05,0.000268241581722475,0,0.000415972269015713,0.000253917357740624,2.65292242230702e-05,0.000297387179670854,0.000426622838180617,1.72086458795295e-05,0.000272091586304385,0.00127922902367587,0.000555550714212988,0,0,0,0,0,0,0,0.00279967452145035,"MilliQ1_run3_1"
448.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99137590183927e-05,0,NA,"MilliQ1_run3_1"
453.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000228966598834229,0.000518045779327756,0.000360381910779441,0.000289926893137643,0.000736536108328861,0.0007222448682579,0.000165662298057656,0.000321382417507768,0,0,0.000597945911591938,0.000466107791292946,0.000398351367601917,0.000633872595931822,0.000350814703844918,0.00069223442315482,0.000522264105979879,0.00040517697823168,0.000460597139391159,0.000525938696289651,0.000411080712737951,0.000638141451076475,0.000789710023330909,0.0010314042340323,0.000607130912287963,0.000496662199395479,0.000878250205991007,0.000836708833093273,0.000894323842610698,0.000588536001885629,0.0014646515054891,0.00113261121102247,0.0014576080085803,0.00255193725975843,0.00102216180757731,0.0032228834123664,0.00479618963620499,0.00472086000678697,0.0148728985053295,NA,"MilliQ1_run3_1"
457.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000397986629060657,1.26967487973787e-05,0,0,0,0.000325627166119944,0,2.25205005629067e-05,0,0,0.000163041403761354,8.80424892912971e-05,0,5.7010302259376e-06,0.000343688758045609,0.000175998926688317,0.000131025021138694,6.13571042489516e-05,5.8196297319807e-05,0.000246915600340166,0.000111480146362838,0.00015502625340636,0,5.81661487269768e-05,0,9.52964925690219e-05,0,0,0.000517314085393815,0.000857000669288611,0.00179110748287182,0,7.73178009966316e-05,NA,NA,"MilliQ1_run3_1"
462.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.81362476458773e-06,0,0,0.000107942196740555,0,0.000294722777062235,0,0,0,0,0.000292908485203656,1.43692709344127e-05,0.000200066515892674,0,0.000215586451704528,7.80352448094768e-05,0.000302118272061595,0.000161517082757791,0,0,0,0.000193959896705366,0,0.000220168519957707,0.00015956831666814,0.000464722106981175,0.000198576902882441,7.25220595142727e-05,0.000587762514451137,0,9.82142738590635e-05,0.000829168680753062,0.00105266801024418,0.000793652427712208,0,0.000758138156683569,0.0012059357702966,0,0.0024422586954285,NA,NA,"MilliQ1_run3_1"
467.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24107111947807e-05,0,0,0,0,0,0.000191561003920269,0,0,0,3.96800674300897e-05,0,0.000464227575984373,0,0,0,NA,NA,NA,"MilliQ1_run3_1"
471.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53106615500993e-05,0,0,0,0,0,0,0,4.15182295339685e-05,4.64605541519182e-05,0,9.16235385886941e-05,0,0,0.000377646602909813,0,0,0,0,NA,NA,NA,"MilliQ1_run3_1"
476.407,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29993285423366e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"MilliQ1_run3_1"
