"UniqueID","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name"
"MilliQ_run5_1",0,0,6.31116669030015e-05,0,0.00388803433030185,0.0014718875653009,0.00025157231204314,0,0,2.82462385369029e-05,0.00553664669734958,Inf,1.04856843625263,Inf,Inf,0.100161684786965,0.0800620214483514,0.647329340893888,"Group001Sample0001","run5"
"MilliQ_run6_1",0.00255283232084221,0.0190700264946188,0.000973435625843649,0.00599609272571885,0.0726549045998397,0,0.000103736824044949,0.000596868543149377,0,0.00433006699624034,0.155846035783288,2.19219946558332,0.242423014506694,1.96902714523902,0.162344992042622,2.52572017874226,0.187803087617015,9.30283932276439,"Group001Sample0001","run6"
"MilliQ_run6_2",0,0.00183075214811573,0.000224529491867811,0,0,0,0,0,0,0,0,NA,Inf,0,Inf,0.00262053806351494,0.0054485831471094,0.0930304187704787,"Group006Sample0003","run6"
"TAU824001",0.0333121873478664,0.0306813050845062,0.0311457119153379,0.0316371343214425,0.0145259036111469,0,0.0175914789853905,0.0243073631868263,0.0130641722941442,0.0356915124081929,0.0559297214388434,0.556421933937897,4.91030272442271,1.45570868837735,0.984466911537828,0.955730701901174,0.0253424036834187,6.90088465299133,"Group001Sample0002","run6"
"TAU824002",0.0115117164487234,0.0659953143276541,0.0125253744280936,0.0146325713005861,0.0434087614513349,0.0159461232588588,0.00748587174577471,0.0102327241317232,0.00525595928460096,0.0159906759401493,0.0229016931333667,0.98017622180735,0.853466303222241,1.75696921281744,0.855992714526665,2.43363588298909,0.125619831566477,7.07037817654838,"Group001Sample0003","run6"
"TAU824003",0.0140923345212782,0.0665446014352271,0.0147369535706791,0.0166973793209301,0.0174348196190017,0.0121817928898933,0.00836206034481311,0.011332789849363,0.00600501195905502,0.0180914133736055,0.0397057244918433,0.722979207420076,1.63823550471303,1.56446699610985,0.88259081185311,1.63266932620038,0.0825784266874895,5.659364395309,"Group001Sample0004","run6"
"TAU824004",0.00697517636643723,0.0392681109742159,0.00727471950366644,0.0073165567528076,0,0.00110421732539093,0.00534563952037312,0.00547230820644418,0.00318090036550987,0.0110423340394161,0.0108881348709293,0.755548236911294,3.07085693516874,1.53440860077362,0.994281839046064,0.530591357532502,0.0546086484943838,2.50258420526867,"Group001Sample0005","run6"
"TAU824005",0.011298845627087,0.0601386081878842,0.00945529389427399,0.01981227065946,0.0911332238430381,0.0261330126014668,0.00645138961612673,0.00771250937529472,0.00445486600942806,0.0156530239428645,0.120573972961957,1.40491274378838,0.597076648115275,1.67197899840255,0.477244332908366,3.67576163986583,0.156947923456328,11.0756916111712,"Group001Sample0006","run6"
"TAU824006",0.0126491830244404,0.0657783436175359,0.013536764769396,0.0137163618377529,0.0144114730243803,0.0079142552580824,0.00740410160604992,0.0105216889020498,0.00564183345531511,0.0150706739602605,0.0231222876844932,0.768293801571432,1.37691146971307,1.7033900282833,0.986906362599551,1.41103403198967,0.0787768989278952,5.10719813416282,"Group001Sample0007","run6"
"TAU824007",0.00987297029430998,0.0278065824175731,0.010719944653747,0.010201209766014,0.019352050851352,0,0.00618432847967141,0.00807158267205184,0.0043054300994377,0.0137078570164548,0.0111175278586299,0.849309989539523,1.49927947186636,1.58723410184153,1.05085033046386,1.19792931425993,0.0885991309368717,4.32076088836052,"Group002Sample0001","run6"
