"UniqueID","run_name","run_order","sample","group","SEM_file","blank1","blank2","ABS_file"
"MilliQ1_run3_1","run3",1,"Group001Sample0001","Group001","Group001Sample0001SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0001ABS.dat"
"MOBEAST019","run3",2,"Group001Sample0002","Group001","Group001Sample0002SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0002ABS.dat"
"MOBEAST020","run3",3,"Group001Sample0003","Group001","Group001Sample0003SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0003ABS.dat"
"MOBEAST021","run3",4,"Group001Sample0004","Group001","Group001Sample0004SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0004ABS.dat"
"MOBEAST022","run3",5,"Group001Sample0005","Group001","Group001Sample0005SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0005ABS.dat"
"MOBEAST023","run3",6,"Group001Sample0006","Group001","Group001Sample0006SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0006ABS.dat"
"MOBEAST024","run3",7,"Group001Sample0007","Group001","Group001Sample0007SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0007ABS.dat"
"MOBEAST025","run3",8,"Group002Sample0001","Group002","Group002Sample0001SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0001ABS.dat"
"MOBEAST026","run3",9,"Group002Sample0002","Group002","Group002Sample0002SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0002ABS.dat"
"MOBEAST027","run3",10,"Group002Sample0003","Group002","Group002Sample0003SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0003ABS.dat"
"MOBEAST028","run3",11,"Group002Sample0004","Group002","Group002Sample0004SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0004ABS.dat"
"MOBEAST029","run3",12,"Group002Sample0005","Group002","Group002Sample0005SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0005ABS.dat"
"MOBEAST030","run3",13,"Group002Sample0006","Group002","Group002Sample0006SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0006ABS.dat"
"MOBEAST031","run3",14,"Group002Sample0007","Group002","Group002Sample0007SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0007ABS.dat"
"MOBEAST032","run3",15,"Group003Sample0001","Group003","Group003Sample0001SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0001ABS.dat"
"MOBEAST033","run3",16,"Group003Sample0002","Group003","Group003Sample0002SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0002ABS.dat"
"MOBEAST034","run3",17,"Group003Sample0003","Group003","Group003Sample0003SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0003ABS.dat"
"MOBEAST035","run3",18,"Group003Sample0004","Group003","Group003Sample0004SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0004ABS.dat"
"MOBEAST036","run3",19,"Group003Sample0005","Group003","Group003Sample0005SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0005ABS.dat"
"MOBEAST055","run3",20,"Group003Sample0006","Group003","Group003Sample0006SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0006ABS.dat"
"MOBEAST056","run3",21,"Group003Sample0007","Group003","Group003Sample0007SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0007ABS.dat"
