loaded	collection_label	UniqueID	sample	count	notes
1	BLANK1	BLANK1	 	 	
2	MilliQ	MilliQ1_run3_1	1	1	
1	MOBEAST_F1_Inflow_2024-06-02_1800	MOBEAST019	2	2	
2	MOBEAST_F2_Inflow_2024-06-02_1800	MOBEAST020	3	3	
1	MOBEAST_T1_A_2024-06-02_1800	MOBEAST021	4	4	
2	MOBEAST_T2_R_2024-06-02_1800	MOBEAST022	5	5	
1	MOBEAST_T3_C_2024-06-02_1800	MOBEAST023	6	6	
2	MOBEAST_T4_A_2024-06-02_1800	MOBEAST024	7	7	
1	BLANK2	BLANK2			
2	MOBEAST_T5_R_2024-06-02_1800	MOBEAST025	1	8	
1	MOBEAST_T6_K_2024-06-02_1800	MOBEAST026	2	9	
2	MOBEAST_T7_K_2024-06-02_1800	MOBEAST027	3	10	
1	MOBEAST_T8_C_2024-06-02_1800	MOBEAST028	4	11	
2	MOBEAST_T9_K_2024-06-02_1800	MOBEAST029	5	12	
1	MOBEAST_T10_R_2024-06-02_1800	MOBEAST030	6	13	
2	MOBEAST_T11_C_2024-06-02_1800	MOBEAST031	7	14	
1	BLANK3	BLANK3			
2	MOBEAST_T12_R_2024-06-02_1800	MOBEAST032	1	15	
1	MOBEAST_T13_A_2024-06-02_1800	MOBEAST033	2	16	
2	MOBEAST_T14_A_2024-06-02_1800	MOBEAST034	3	17	
1	MOBEAST_T15_C_2024-06-02_1800	MOBEAST035	4	18	
2	MOBEAST_T16_K_2024-06-02_1800	MOBEAST036	5	19	
1	MOBEAST_F1_Inflow_2024-06-03_0600	MOBEAST055	6	20	
2	MOBEAST_F2_Inflow_2024-06-03_0600	MOBEAST056	7	21	
1	BLANK4	BLANK4			
2	MOBEAST_T1_A_2024-06-03_0600	MOBEAST057	1	22	
1	MOBEAST_T2_R_2024-06-03_0600	MOBEAST058	2	23	
2	MOBEAST_T3_C_2024-06-03_0600	MOBEAST059	3	24	
1	MOBEAST_T4_A_2024-06-03_0600	MOBEAST060	4	25	
2	MOBEAST_T5_R_2024-06-03_0600	MOBEAST061	5	26	
1	MOBEAST_T6_K_2024-06-03_0600	MOBEAST062	6	27	
2	MOBEAST_T7_K_2024-06-03_0600	MOBEAST063	7	28	
1	BLANK5	BLANK5			
2	MOBEAST_T8_C_2024-06-03_0600	MOBEAST064	1	29	
1	MOBEAST_T9_K_2024-06-03_0600	MOBEAST065	2	30	
2	MOBEAST_T10_R_2024-06-03_0600	MOBEAST066	3	31	
1	MOBEAST_T11_C_2024-06-03_0600	MOBEAST067	4	32	
2	MOBEAST_T12_R_2024-06-03_0600	MOBEAST068	5	33	
1	MOBEAST_T13_A_2024-06-03_0600	MOBEAST069	6	34	
2	MOBEAST_T14_A_2024-06-03_0600	MOBEAST070	7	35	
1	BLANK6	BLANK6			
2	MOBEAST_T15_C_2024-06-03_0600	MOBEAST071	1	36	
1	MOBEAST_T16_K_2024-06-03_0600	MOBEAST072	2	37	
2	MOBEAST_Bay _Endmember_2024-05-27_1500	MOBEAST109	3	38	
1	MOBEAST_Ocean_Endmember_2024-05-27_1500	MOBEAST110	4	39	
2	MOBEAST_Lagoon_Endmember_2024-05-27_1645	MOBEAST111	5	40	
1	MOBEAST_Bay _Endmember_2024-05-25_1510	MOBEAST112	6	41	
2	MOBEAST_Ocean_Endmember_2024-05-25_1500	MOBEAST113	7	42	
1	BLANK7	BLANK7			
2	MOBEAST_Lagoon Tiahura_Endmember_2024-05-25_0845	MOBEAST114	1	43	
1	MOBEAST_Bay _Rain_2024-06-06_1425	MOBEAST115	2	44	
2	MilliQ	MilliQ_run3_2	3	45	
