sampleID,extraction_vol,dilution_factor,fluorometer,vol_filtered,conc_extractant,filter_deposit,chla_conc
MOBEAST_F1_Inflow_2024-06-06_12:00,5,1,0.23,120,0.23,0.0011500000000000002,0.01
MOBEAST_F2_Inflow_2024-06-06_12:00,5,1,2.82,121,2.82,0.0141,0.117
MOBEAST_T1_A_2024-06-06_12:00,5,1,4.5,120,4.5,0.0225,0.188
MOBEAST_T2_R_2024-06-06_12:00,5,1,6.37,120,6.37,0.03185,0.265
MOBEAST_T3_C_2024-06-06_12:00,5,1,8.3,134.5,8.3,0.0415,0.309
MOBEAST_T4_A_2024-06-06_12:00,5,1,3.25,140.5,3.25,0.01625,0.116
MOBEAST_T5_R_2024-06-06_12:00,5,1,5.21,133,5.21,0.02605,0.196
MOBEAST_T6_K_2024-06-06_12:00,5,1,1.15,128.5,1.15,0.00575,0.045
MOBEAST_T7_K_2024-06-06_12:00,5,1,0.3,127.5,0.3,0.0015,0.012
MOBEAST_T8__2024-06-06_12:00,5,1,3.9,122.5,3.9,0.0195,0.159
MOBEAST_T9__2024-06-06_12:00,5,1,3.3,124,3.3,0.0165,0.133
MOBEAST_T10_R_2024-06-06_12:00,5,1,0.79,126,0.79,0.00395,0.031
MOBEAST_T11_C_2024-06-06_12:00,5,1,6.97,133.75,6.97,0.03485,0.261
MOBEAST_T12_R_2024-06-06_12:00,5,1,7.02,138.5,7.02,0.03509999999999999,0.253
MOBEAST_T13_A_2024-06-06_12:00,5,1,3.69,130,3.69,0.018449999999999998,0.142
MOBEAST_T14_A_2024-06-06_12:00,5,1,4.71,134.5,4.71,0.02355,0.175
MOBEAST_T15_C_2024-06-06_12:00,5,1,3.04,137.5,3.04,0.0152,0.111
MOBEAST_T16_K_2024-06-06_12:00,5,1,0.36,133.75,0.36,0.0017999999999999997,0.013
MOBEAST_Bay _Endmember_2024-05-27_15:00,5,1,16.14,125,16.14,0.08070000000000001,0.646
MOBEAST_Lagoon_Endmember_2024-05-27_16:45,5,1,1.8,125,1.8,0.009,0.072
MOBEAST_Bay _Rain_2024-06-06_14:25,5,1,8.36,125,8.36,0.0418,0.334
