sample_clusts,family
1,Vibrionaceae X Vibrionales X Gammaproteobacteria X Proteobacteria
1,Marinomonadaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
1,Pseudoalteromonadaceae X Alteromonadales X Gammaproteobacteria X Proteobacteria
1,Pseudomonadaceae X Pseudomonadales X Gammaproteobacteria X Proteobacteria
1,Halomonadaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
1,Idiomarinaceae X Alteromonadales X Gammaproteobacteria X Proteobacteria
1,Bacteroidia_unclassified X Bacteroidia_unclassified X Bacteroidia X Bacteroidetes
1,Desulfovibrionaceae X Desulfovibrionales X Deltaproteobacteria X Proteobacteria
1,Bacteroidetes_BD2-2 X Bacteroidales X Bacteroidia X Bacteroidetes
1,Marinilabiliaceae X Bacteroidales X Bacteroidia X Bacteroidetes
1,Bacteriovoracaceae X Bdellovibrionales X Deltaproteobacteria X Proteobacteria
1,Kiritimatiellaceae X Kiritimatiellales X Kiritimatiellae X Kiritimatiellaeota
1,Alteromonadales_unclassified X Alteromonadales X Gammaproteobacteria X Proteobacteria
1,Spirochaetaceae X Spirochaetales X Spirochaetia X Spirochaetes
1,Alcanivoracaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
1,Campylobacteria_unclassified X Campylobacteria_unclassified X Campylobacteria X Epsilonbacteraeota
1,Nitrincolaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
1,SAR324_clade(Marine_group_B)_fa X SAR324_clade(Marine_group_B) X Deltaproteobacteria X Proteobacteria
1,Rhodobacteraceae X Rhodobacterales X Alphaproteobacteria X Proteobacteria
1,Alphaproteobacteria_unclassified X Alphaproteobacteria_unclassified X Alphaproteobacteria X Proteobacteria
1,Arenicellaceae X Arenicellales X Gammaproteobacteria X Proteobacteria
1,Anaerolineae_unclassified X Anaerolineae_unclassified X Anaerolineae X Chloroflexi
1,Arcobacteraceae X Campylobacterales X Campylobacteria X Epsilonbacteraeota
1,Desulfuromonadaceae X Desulfuromonadales X Deltaproteobacteria X Proteobacteria
1,Deltaproteobacteria_unclassified X Deltaproteobacteria_unclassified X Deltaproteobacteria X Proteobacteria
1,Bacteria_unclassified X Bacteria_unclassified X Bacteria_unclassified X Bacteria_unclassified
1,JGI_0000069-P22_fa X JGI_0000069-P22 X Gracilibacteria X Patescibacteria
2,Hyphomonadaceae X Caulobacterales X Alphaproteobacteria X Proteobacteria
2,Sphingomonadaceae X Sphingomonadales X Alphaproteobacteria X Proteobacteria
2,Gammaproteobacteria_unclassified X Gammaproteobacteria_unclassified X Gammaproteobacteria X Proteobacteria
2,Litoricolaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
2,Alteromonadaceae X Alteromonadales X Gammaproteobacteria X Proteobacteria
2,Cellvibrionaceae X Cellvibrionales X Gammaproteobacteria X Proteobacteria
2,Oleiphilaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
2,Woesearchaeia_fa X Woesearchaeia_or X Woesearchaeia X Nanoarchaeaeota
3,Cyanobiaceae X Synechococcales X Oxyphotobacteria X Cyanobacteria
3,Pirellulaceae X Pirellulales X Planctomycetacia X Planctomycetes
3,Cryomorphaceae X Flavobacteriales X Bacteroidia X Bacteroidetes
3,Marine_Group_II_fa X Marine_Group_II X Thermoplasmata X Euryarchaeota
3,OM182_clade_fa X OM182_clade X Gammaproteobacteria X Proteobacteria
3,Halieaceae X Cellvibrionales X Gammaproteobacteria X Proteobacteria
3,SAR116_clade X Puniceispirillales X Alphaproteobacteria X Proteobacteria
3,Flavobacteriaceae X Flavobacteriales X Bacteroidia X Bacteroidetes
3,Clade_II X SAR11_clade X Alphaproteobacteria X Proteobacteria
3,Marinimicrobia_(SAR406_clade)_fa X Marinimicrobia_(SAR406_clade)_or X Marinimicrobia_(SAR406_clade)_cl X Marinimicrobia_(SAR406_clade)
3,SAR86_clade_fa X SAR86_clade X Gammaproteobacteria X Proteobacteria
3,AEGEAN-169_marine_group X Rhodospirillales X Alphaproteobacteria X Proteobacteria
3,Clade_I X SAR11_clade X Alphaproteobacteria X Proteobacteria
3,Microtrichaceae X Microtrichales X Acidimicrobiia X Actinobacteria
3,Actinomarinaceae X Actinomarinales X Acidimicrobiia X Actinobacteria
3,Methylophilaceae X Betaproteobacteriales X Gammaproteobacteria X Proteobacteria
3,Saccharospirillaceae X Oceanospirillales X Gammaproteobacteria X Proteobacteria
3,Prolixibacteraceae X Bacteroidales X Bacteroidia X Bacteroidetes
3,Thiomicrospiraceae X Thiomicrospirales X Gammaproteobacteria X Proteobacteria
