sample_clusts,family
1,SAR202_clade_fa
1,Saccharospirillaceae
1,Nitrosopumilaceae
1,Thiomicrospiraceae
1,Cyclobacteriaceae
1,Marinifilaceae
1,NS7_marine_group
1,S25-593
1,NS9_marine_group
1,Arctic97B-4_marine_group_fa
1,OM182_clade_fa
1,Cryomorphaceae
1,Marine_Group_II_fa
1,Clade_IV
1,Actinomarinaceae
1,Ectothiorhodospiraceae
1,Flavobacteriaceae
1,Clade_II
1,SAR116_clade
1,Marinimicrobia_(SAR406_clade)_fa
1,SAR86_clade_fa
1,AEGEAN-169_marine_group
1,Clade_I
1,Microtrichaceae
1,Methylophilaceae
1,Halieaceae
1,Pseudohongiellaceae
1,uncultured_fa
1,Rubinisphaeraceae
1,Nannocystaceae
1,Piscirickettsiaceae
1,KI89A_clade_fa
1,Cyanobiaceae
1,Pirellulaceae
2,Rhodospirillaceae
2,Arcobacteraceae
2,Helicobacteraceae
2,Leptotrichiaceae
2,Alteromonadales_unclassified
2,Kiritimatiellaceae
2,Spirochaetaceae
2,Anaerolineae_unclassified
2,Desulfuromonadaceae
2,Francisellaceae
2,Nitrincolaceae
2,Saprospiraceae
2,Bacteriovoracaceae
2,Micavibrionaceae
2,Rhodobacteraceae
2,Rhizobiaceae
2,Stappiaceae
2,Alphaproteobacteria_unclassified
2,Arenicellaceae
2,Spongiibacteraceae
2,Alcanivoracaceae
2,Terasakiellaceae
2,Endozoicomonadaceae
2,Litoricolaceae
2,Campylobacterales_unclassified
2,Deltaproteobacteria_unclassified
3,Marinomonadaceae
3,Pseudoalteromonadaceae
3,Sphingomonadaceae
3,Pseudomonadaceae
3,Halomonadaceae
3,Idiomarinaceae
3,Cellvibrionaceae
3,Marinobacteraceae
3,Moraxellaceae
3,Colwelliaceae
3,Vibrionaceae
3,Alteromonadaceae
3,Prolixibacteraceae
4,Proteobacteria_unclassified
4,Campylobacteria_unclassified
4,Bacteroidia_unclassified
4,Desulfovibrionaceae
4,Bacteroidetes_BD2-2
4,Marinilabiliaceae
4,Woesearchaeia_fa
4,JGI_0000069-P22_fa
4,Oleiphilaceae
4,SAR324_clade(Marine_group_B)_fa
4,Gammaproteobacteria_unclassified
4,Bacteroidales_unclassified
4,Thalassospiraceae
4,Oligoflexaceae
4,Puniceicoccaceae
4,Bacteria_unclassified
4,Hyphomonadaceae
